NOME-DO-CANDIDATO,CODIGO-INSTITUICAO,NOME-INSTITUICAO,CODIGO-ORGAO,NOME-ORGAO,CODIGO-CURSO,NOME-CURSO,NOME-CURSO-INGLES,PARTICIPACAO-EM-BANCA-DE-DOUTORADO_Id
"Eduardo Javier Huerta Yero","007900000004","Universidade Estadual de Campinas","","","33070210","Engenharia Elétrica","Electric Engineering",0
"Michele Mara de Araújo Espíndula Lima","007900000004","Universidade Estadual de Campinas","","","33070059","Ciência da Computação","Computer Science",1
"Irineu Sotoma","007900000004","Universidade Estadual de Campinas","","","33070059","Ciência da Computação","Computer Science",2
"Marcelo Fantinato","007900000004","Universidade Estadual de Campinas","","","33070059","Ciência da Computação","Computer Science",3
"Ivo José Garcia dos Santos","007900000004","Universidade Estadual de Campinas","","","33070059","Ciência da Computação","Computer Science",4
"Lásaro Jonas Camargos","007900000004","Universidade Estadual de Campinas","","","33070059","Ciência da Computação","Computer Science",5
"Tarcísio da Rocha","007900000004","Universidade Estadual de Campinas","","","33070059","Ciência da Computação","Computer Science",6
"Daniel Macêdo Batista","007900000004","Universidade Estadual de Campinas","","","33070059","Ciência da Computação","Computer Science",7
"Nádia Puchalski Kozievitch","007900000004","Universidade Estadual de Campinas","","","33070059","Ciência da Computação","Computer Science",8
"Francisco Antunes Caminati","007900000004","Universidade Estadual de Campinas","","","60048220","Sociologia","Sociology",9
"Neumar Costa Malheiros","007900000004","Universidade Estadual de Campinas","","","33070059","Ciência da Computação","Computer Science",10
"Jorge Lima de Oliveira Filho","007900000004","Universidade Estadual de Campinas","","","33070059","Ciência da Computação","Computer Science",11
"Rodolfo Ipolito Meneguette","007900000004","Universidade Estadual de Campinas","","","33070059","Ciência da Computação","Computer Science",12
"Carlos Roberto Senna","007900000004","Universidade Estadual de Campinas","","","33070059","Ciência da Computação","Computer Science",13
"Ivelize Rocha Bernardo","007900000004","Universidade Estadual de Campinas","","","33070059","Ciência da Computação","Computer Science",14
"Rafael Lopes Gomes","007900000004","Universidade Estadual de Campinas","","","33070059","Ciência da Computação","Computer Science",15
"Daniel Cason","007900000004","Universidade Estadual de Campinas","","","60041870","Doutorado em Ciência da Computação - UNICAMP","Computer Sciences",16
