NOME-COMPLETO,NOME-PARA-CITACAO,ORDEM-DE-INTEGRACAO,FLAG-RESPONSAVEL,NRO-ID-CNPQ,EQUIPE-DO-PROJETO_Id
"Adriana do Nascimento Araujo Mendes","MENDES, A. N. A.;MENDES, Adriana N. A.;MENDES, ADRIANA","1","SIM","1620607218993565",0
"Patricia Kawaguchi Cesar","CESAR, Patricia K.","2","NAO","",0
"Rafael Brienza de Almeida","ALMEIDA, Rafael B.","3","NAO","",0
"Alexandre Henrique dos Santos","SANTOS, Alexandre H.","4","NAO","",0
"Adriana do Nascimento Araujo Mendes","MENDES, A. N. A.;MENDES, Adriana N. A.;MENDES, ADRIANA","1","SIM","1620607218993565",1
"Patricia Kawaguchi Cesar","CESAR, Patricia K.","2","NAO","",1
"Ana Lia Della Torre","TORRE, Ana Lia D.","3","NAO","",1
"Hugo Romano Mariano","MARIANO, Hugo R.","4","NAO","",1
"Adriana do Nascimento Araujo Mendes","MENDES, A. N. A.;MENDES, Adriana N. A.;MENDES, ADRIANA","1","SIM","1620607218993565",2
"Adriana do Nascimento Araujo Mendes","MENDES, A. N. A.;MENDES, Adriana N. A.;MENDES, ADRIANA","1","SIM","1620607218993565",3
"Iramar Eustachio Rodrigues","Iramar Rodrigues","2","NAO","",3
"Adriana do Nascimento Araujo Mendes","MENDES, A. N. A.;MENDES, Adriana N. A.;MENDES, ADRIANA","1","SIM","1620607218993565",4
"Adriana do Nascimento Araujo Mendes","MENDES, A. N. A.;MENDES, Adriana N. A.;MENDES, ADRIANA","1","SIM","1620607218993565",5
"Eliana Ayoub","AYOUB, E.","2","NAO","",5
"Marisa Lambert","LAMBERT, M.","3","NAO","",5
"Adriana do Nascimento Araujo Mendes","MENDES, A. N. A.;MENDES, Adriana N. A.;MENDES, ADRIANA","1","SIM","1620607218993565",6
"José Augusto Mannis","MANNIS, José A.","2","NAO","",6
"Roberta Azzi","AZZI, Roberta","3","NAO","",6
"Ana Cristina da Gama Tourinho","TOURINHO, Ana C. da G.","4","NAO","",6
"Joel Barbosa","BARBOSA, Joel","5","NAO","",6
"Diana Santiago","SANTIAGO, Diana","6","NAO","",6
"Alda de Oliveira","OLIVEIRA, Alda de","7","NAO","",6
"Claudiney Carrasco","CARRASCO, Claudiney","8","NAO","",6
"Lenita Nogueira","NOGUEIRA, Lenita","9","NAO","",6
"Luciana Del Ben","BEN, Luciana D.","10","NAO","",6
"Jusamara Souza","SOUZA, Jusamara","11","NAO","",6
"Cristina Gerling","GERLING, Cristina","12","NAO","",6
"Adriana do Nascimento Araujo Mendes","MENDES, A. N. A.;MENDES, Adriana N. A.;MENDES, ADRIANA","1","SIM","1620607218993565",7
"Alexandre Henrique dos Santos","SANTOS, Alexandre H.","2","NAO","",7
