NOME-COMPLETO,NOME-PARA-CITACAO,ORDEM-DE-INTEGRACAO,FLAG-RESPONSAVEL,NRO-ID-CNPQ,EQUIPE-DO-PROJETO_Id
"Sandro Rigo","RIGO, S.;Rigo, Sandro","1","SIM","8308517667746974",0
"Guido Araújo","ARAÚJO, Guido","2","NAO","8683914780987242",0
"Paulo Cesar Centoducatte","CENTODUCATTE, Paulo Cesar","3","NAO","0758877444698557",0
"Marcus Bartholomeu","BARTHOLOMEU, Marcus","4","NAO","2913682696452678",0
"Thiago Massaroli Sigrist","SIGRIST, Thiago Massaroli","5","NAO","",0
"Marilia Chiozo","CHIOZO, Marilia","6","NAO","",0
"Bruno Corsi","CORSI, Bruno","7","NAO","",0
"Alexandro Baldassin","BALDASSIN, Alexandro","8","NAO","4738829911864396",0
"Bruno de Carvalho Albertini","ALBERTINI, Bruno de Carvalho","9","NAO","2729012989571213",0
"Luis Felipe Strano Moraes","MORAES, Luis Felipe Strano","10","NAO","",0
"Sandro Rigo","RIGO, S.;Rigo, Sandro","1","NAO","8308517667746974",1
"Guido Araújo","ARAÚJO, Guido","2","NAO","8683914780987242",1
"Rodolfo Jardim de Azevedo","AZEVEDO, Rodolfo Jardim de","3","SIM","2046981671187343",1
"Paulo César Centoducatte","CENTODUCATTE, Paulo César","4","NAO","0758877444698557",1
"Sandro Rigo","RIGO, S.;Rigo, Sandro","1","NAO","8308517667746974",2
"Guido Araújo","ARAÚJO, Guido","2","SIM","8683914780987242",2
"Guilherme Ottoni","OTTONI, G.","3","NAO","1275788329193557",2
"Rodolfo Jardim de Azevedo","AZEVEDO, Rodolfo Jardim de","4","NAO","2046981671187343",2
"Marcus Bartholomeu","BARTHOLOMEU, Marcus","5","NAO","2913682696452678",2
"Paulo César Centoducatte","CENTODUCATTE, Paulo César","6","NAO","0758877444698557",2
"Ricardo Pannain","PANNAIN, Ricardo","7","NAO","",2
"Mário Lúcio Cortes","CORTES, Mário Lúcio","8","NAO","",2
"Nahri Moreano","MOREANO, Nahri","9","NAO","",2
"Eduardo Wanderley","WANDERLEY, Eduardo","10","NAO","",2
"Sandro Rigo","RIGO, S.;Rigo, Sandro","1","NAO","8308517667746974",3
"Pablo Viana da Silva","SILVA, P. V.","2","NAO","0217522010967626",3
"Edna Barros","BARROS, Edna","3","NAO","6291354144339437",3
"Paulo César Centoducatte","CENTODUCATTE, Paulo César","4","SIM","0758877444698557",3
"Manuel Euzebio de Lima","LIMA, Manuel Euzebio de","5","NAO","",3
"Richard Maciel Costa","COSTA, Richard Maciel","6","NAO","9012221153505855",3
"Alexandro Baldassin","BALDASSIN, Alexandro","7","NAO","4738829911864396",3
"Bruno de Carvalho Albertini","ALBERTINI, Bruno de Carvalho","8","NAO","2729012989571213",3
"Cristiano Araújo","ARAÚJO, Cristiano","9","NAO","9638500605562489",3
"Abel Guilhermino Filho","GUILHERMINO FILHO, Abel","10","NAO","",3
"Edson Barbosa Lisboa","LISBOA, Edson Barbosa","11","NAO","",3
