SEQUENCIA-FUNCAO-ATIVIDADE,FLAG-PERIODO,MES-INICIO,ANO-INICIO,MES-FIM,ANO-FIM,CODIGO-ORGAO,NOME-ORGAO,CODIGO-UNIDADE,NOME-UNIDADE,ESTAGIO-REALIZADO,ATIVIDADES-DE-ESTAGIO_Id
"1","ANTERIOR","08","2001","12","2001","007901000997","Instituto de Computação","","","Programa de Estágio Docente na Atividade Supervisionada de Apoio a Docência",0
"2","ANTERIOR","3","2002","7","2002","985600069164","Instituto de Computação","985600069164","Instituto de Computação","Programa de Estágio de Docente na Atividade Supervisionada de Apoio a Docência",0
