TIPO,TITULO,ANO,PAIS,IDIOMA,NOME_DO_CANDIDATO
Doutorado,Estudo sobre Processamento Maciçamente Paralelo na Internet,2003,Brasil,Português,Eduardo Javier Huerta Yero
Doutorado,Projeto de Controladores Ótimos para Gerenciamento Ativo de Filas,2005,Brasil,Português,Michele Mara de Araújo Espíndula Lima
Doutorado,Qualidade de Serviço de Detectores de Defeitos na Presença de Rajadas de Perdas de Mensagens,2006,Brasil,Português,Irineu Sotoma
Doutorado,Uma Abordagem Baseada em Características para o Estabelecimentos de Contratos Eletrônicos para Serviços WEB,2007,Brasil,Português,Marcelo Fantinato
Doutorado,CoGPlat: Um Middleware para Serviços de Governo Eletrônico Centrados no Cidadão,2008,Brasil,Português,Ivo José Garcia dos Santos
Doutorado,Protocolos Mullticoordenados de Acordo e Serviço de Log,2008,Brasil,Português,Lásaro Jonas Camargos
Doutorado,Serviços de Transação Abertos para Ambientes Dinâmicos,2008,Brasil,Português,Tarcísio da Rocha
Doutorado,Escalonadores de Tarefas Dependentes para Grades Robustos às Incertezas das Informações de Entrada,2010,Brasil,Português,Daniel Macêdo Batista
Doutorado,Objetos Complexos em Bibliotecas Digitais: Analisando o Gerenciamento de Componentes de Imagens,2011,Brasil,Português,Nádia Puchalski Kozievitch
Doutorado,"Terra incognita: liberdade, espoliação. O software livre entre técnicas de apropriação e estratégias de liberdade.",2013,Brasil,Português,Francisco Antunes Caminati
Doutorado,Uma Abordagem Cognitiva para Auto-Configuração de Protocolos de Comunicação,2013,Brasil,Português,Neumar Costa Malheiros
Doutorado,Uma Arquitetura para Gerência de Mobilidade Cognitiva em Redes sem Fio Heterogêneas,2013,Brasil,Português,Jorge Lima de Oliveira Filho
Doutorado,Uma Arquitetura de Gerência de Mobilidade para Redes Veiculares,2013,Brasil,Português,Rodolfo Ipolito Meneguette
Doutorado,CEO - Uma Infraestrutura para Orquestração de Workflows de Serviços em Ambientes Computacionais Híbridos,2014,Brasil,Português,Carlos Roberto Senna
Doutorado,Promovendo a Interoperabilidade de Planilhas a partir do Reconhecimento de Signos,2014,Brasil,Português,Ivelize Rocha Bernardo
Doutorado,Mecanismos para Gerenciamento de SLA em Redes Virtuais Definidas por Software baseados em Classes de QoS,2015,Brasil,Português,Rafael Lopes Gomes
Doutorado,The role of synchrony on the performance of Paxos,2017,Brasil,Português,Daniel Cason
