TIPO,TITULO,ANO,PAIS,IDIOMA,NOME_DO_CANDIDATO
Mestrado,Metadados para Workflows Científicos no Apoio ao Planejamento Ambiental,2003,Brasil,Português,Henrique Aparecido da Rocha
Mestrado,Um Modelo para Deployment de Componentes em CORBA,2003,Brasil,Português,Maria Claudia Borges Barros
Mestrado,Um Estudo do Desempenho dos Protocolos iSCSI e Fibre Channel,2004,Brasil,Português,Antônio José Rodrigues Neto
Mestrado,Arquiteturas de Redes de Armazenamento de Dados,2006,Brasil,Português,Ariovaldo Veiga de Almeida
Mestrado,Mecanismos de Incentivo à Cooperação em Redes Peer-to-Peer para Distribuição de Fluxos de Vídeo,2006,Brasil,Português,Daniel Antonio Garcia Manzato
Mestrado,Uma Plataforma de Serviços de Recomendação para Bibliotecas Digitais,2008,Brasil,Português,Daniel Carlos Guimarães Predonette
Mestrado,Transações Reconfiguráveis para o Ambiente Móvel,2009,Brasil,Português,Allyn Grey de Almedia Lima Pierre
Mestrado,Uma Abordagem para Reserva de Recursos no Gerenciamento de QoS entre Domínios em Redes de Próxima Geração,2009,Brasil,Português,Ricardo Batista Freitas
Mestrado,"Um Sistema de Reputação para Redes Peer-to-Peer Estruturado Baseado na Reputação de Arquivos, com Verificação pela Reputação dos Nós",2009,Brasil,Português,Douglas Gielo Quinellato
Mestrado,Análise do Comportamento da Hierarquia de Memória com OProfile estendido,2009,Brasil,Português,João Claudio Mussi de Albuquerque
Mestrado,Grades Computacionais Baseadas em Modelos Econômicos,2010,Brasil,Português,Ricardo da Rosa
Mestrado,Ações Atômicas Coordenadas na Plataforma Java EE,2010,Brasil,Português,Peterson Peixoto dos Santos
Mestrado,Memory Dispatcher: Uma contribuição para a Gerência de Recursos em Ambientes Virtualizados,2010,Brasil,Português,Artur Baruchi
Mestrado,Arcabouço Genérico Baseado em Técnicas de Agrupamento para Sistemas de Recomendação,2010,Brasil,Português,Ricardo Luís Zanetti Panaggio
Mestrado,Uma Proposta de Meta-Escalonamento para Execução de Workflows WS-BPEL em Multi-Clusters,2010,Brasil,Português,Thiago Alvarenga Lechuga
Mestrado,Uma Abordagem para Negociação e Renegociação de Contratos Eletrônicos para Serviços Web,2010,Brasil,Português,Daniel Avila Vecchiato
Mestrado,Especificação de Bibliotecas Digitais de Objetos Complexos,2012,Brasil,Português,Ticiana Oniki Toffoli
Mestrado,MidGov: Middleware para Governo Eletrônico baseado em Grade Computacionais,2013,Brasil,Português,Geraldo Magela da Silva
Mestrado,Uma Solução de Alta Disponibilidade para o Sistema de Arquivos Distribuído do Hadoop,2013,Brasil,Português,André Oriani
Mestrado,Leitura Automatizada de Medidores de Consumo de Energia Utilizando Veículos Aéreos não Tripulados,2015,Brasil,Português,José Rodrigues Torres Neto
Mestrado,Detectores de Falhas em Aglomerados: Um Estudo Comparativo,2015,Brasil,Português,Péricles Pompermayer Gumerato
Mestrado,Suporte para execução de máquinas virtuais nativas,2015,Brasil,Português,Alisson Linhares de Carvalho
Mestrado,Proteção de dados sensíveis através do isolamento de processos arbitrários em sistemas operacionais baseados no Linux,2016,Brasil,Português,Otávio Augusto Araújo Silva
Mestrado,Scheduling Applications with Software Requirements in Grids and Private Clouds,2016,Brasil,Português,Cesar GIovanni Chaves Arroyave
Mestrado,Um Sistema de Monitoramento para Caracterização de Algoritmos Distribuídos,2016,Brasil,Português,Elizeu Elieber Fachini
Mestrado,Mecanismos para Escalonamento de Aplicações MapReduce de Diferentes Prioridades,2017,Brasil,Português,Augusto Rodrigues de Souza
Mestrado,Eleição de líder com qualidade de serviço para o modelo falha-e-recuperação,2017,Brasil,Português,Vinícius Angiolucci Reis
Mestrado,Cache Cooperativo Aplicado ao Protocolo GIOP em Redes AD HOC Móveis,2009,Brasil,Português,Rodrigo Cantú Polo
