POS-DOUTORADO_Id,SEQUENCIA-FORMACAO,NIVEL,CODIGO-INSTITUICAO,NOME-INSTITUICAO,ANO-DE-INICIO,ANO-DE-CONCLUSAO,ANO-DE-OBTENCAO-DO-TITULO,FLAG-BOLSA,CODIGO-AGENCIA-FINANCIADORA,NOME-AGENCIA,STATUS-DO-ESTAGIO,STATUS-DO-CURSO,NUMERO-ID-ORIENTADOR,CODIGO-CURSO-CAPES,TITULO-DO-TRABALHO,TITULO-DO-TRABALHO-INGLES,NOME-CURSO-INGLES,FORMACAO-ACADEMICA-TITULACAO_Id
0,"18","5","000100000991","Staffordshire University","2001","2002","","SIM","002200000000","Conselho Nacional de Desenvolvimento Científico e Tecnológico","","CONCLUIDO","","","","","",0
1,"19","5","126700000003","University of Reading","2002","2002","","SIM","002200000000","Conselho Nacional de Desenvolvimento Científico e Tecnológico","","CONCLUIDO","","","","","",0
