TIPO,TITULO,ANO,PAIS,IDIOMA,NOME_DO_CANDIDATO
Doutorado,"Modelagem e Métodos Numéricos para Análise Linear de Estabilidade Eletromecânica, Ressonância Subsíncrona, Transitórios Eletromagnéticos e Desempenho Harmônico de Sistemas de Potência",2002,Brasil,Português,Sergio Gomes Junior
Doutorado,Metodologia Simplificada para Simulação do Comportamento Transitório de Malhas de Terra e Avaliação da Distribuição de Descargas Atmosféricas,2004,Brasil,Português,Marcelo Guimarães Rodrigues
Doutorado,Representação de equivalentes de redes no domínio de fases,2004,Brasil,Português,Diana Moreno Nobre
Doutorado,Uma nova implementação do efeito Skin no modelo de linha de transmissão,2005,Brasil,Português,Omar Mohamed Omar Gatous
Doutorado,Metodologias para ajuste e Avaliação do Desempenho de Relés de Proteção Anti-Ilhamento de Geradores Síncronos Distribuídos,2006,Brasil,Português,José Carlos de Melo Vieira Júnior
Doutorado,Modelo Reduzido de Linha de Transmissão para Transitórios Eletromagnéticos - Aplicação de Propriedades Complexas,2005,Brasil,Português,Marcos de Araújo Paz
Doutorado,Efeito de Descargas Atmosféricas no Desempenho de Linhas de Transmissão - Modelagens nos Domínios do Tempo e da Freqüência,2006,Brasil,Português,João Clávio Salari Filho
Doutorado,Goniofotômetro Inteligente Associado ao Traçamento de Curvas Características Clássicas de Luminotécnica,2005,Brasil,Português,Wanderley Mauro Dib
Doutorado,Identificação dos parâmetros do arco elétrico através de estimação dual estados/parâmetros,2009,Brasil,Português,Otto Wanner Ganvini Asencios
Doutorado,Influência da condutividade e permissividade do solo em função da frequência no cálculo da impedância longitudinal e admitância transversal de linhas aéreas de transmissão,2010,Brasil,Português,João Bosco Gertrudes
Doutorado,Uma metodologia para determinação das capacitâncias parasitas de motores de indução trifásicos de rotor em gaiola,2010,Brasil,Português,Rudolf Ribeiro Riehl
Doutorado,Comportamento de Transformadores para Fenômenos Eletromagneticos,2010,Brasil,Português,Clovis José da Silva
Doutorado,Modelagem de Arco no Ar - Aplicações em Sistemas de Potência,2010,Brasil,Português,Alessandra de Sá e Benevides Câmara
Doutorado,Desarrollo de Equivalentes Multifrecuentes para el Cálculo de Transitorios Electromagnéticos en Tiempo Real,2011,Argentina,Espanhol,Guillermo David Guidi Venerdini
Doutorado,Incorporación de Baterías Redox en Parques Eólicos para Realizar la Regulación Secundaria de Frecuencia,2011,Argentina,Espanhol,Leonardo Javier Ontiveros
Doutorado,Identificação de Parâmetros de Geradores Síncronos usando Métodos de Ajuste de Curvas e Ensaio em Frequência,2011,Brasil,Português,Maria Teresa Mendoza Llerena
Doutorado,Controle adaptativo para religamento tripolar aplicado a linhas de transmissão com compensação reativa em derivação,2011,Brasil,Português,Patricia Mestas Valero
Doutorado,Modelagem de Fenômenos Eletromagnéticos em Linhas de Transmissão em Corrente Contínua,2012,Brasil,Português,Carlos Kleber da Costa Arruda
Doutorado,Análise de Redes Elétricas utilizando o Domínio Harmônico Modificado,2012,Brasil,Português,Angélica Teles
Doutorado,Modelagem 3D para a Determinação do Comprimento de Arcos Elétricos Usando Imagens Estereoscópicas,2012,Brasil,Português,gilmario barbosa dos santos
Doutorado,Estudo de Paralelismo de Alimentadores Radiais de Distribuição de Energia Elétrica,2012,Brasil,Português,Alexandre Batista de Jesus Soares
Doutorado,OTIMIZAÇÃO DE LINHA TRANSMISSÃO PARA MANOBRA DE ABERTURA MONOPOLAR - ANÁLISE DA INFLUÊNCIA DOS PARÂMETROS TRANSVERSAIS DO SISTEMA DE COMPENSAÇÃO REATIVA,2013,Brasil,Português,MILTON ELVIS ZEVALLOS ALCAHUAMAN
Doutorado,"Estudos, Desenvolvimento e Construção de um Limitador de Correntes Elétricas com Núcleo Magnético Saturado",2015,Brasil,Português,Fernando Cardoso Fajoni
Doutorado,Proteção de distância para linhas de transmissão de energia de meio comprimento de onda,2015,Brasil,Português,Renzo Grover Fabian Espinoza
Doutorado,Estimação dos parâmetros elétricos de cabos de potência submarinos considerando incertezas,2016,Brasil,Português,José Carlos Leão Veloso Silva
Doutorado,Novas funções para a proteção de transformadores,2017,Brasil,Português,Fabiano Gustavo Silveira Magrin
Doutorado,A Frequency-dependent multiconductor transmission line model with collocated voltage and current propagation,2017,Brasil,Inglês,Arash Tavighi
