TIPO,TITULO,ANO,PAIS,IDIOMA,NOME_DO_ORIENTADO
Dissertação de mestrado,Análise de sensibilidade dos parâmetros elétricos de uma linha de transmissão trifásica,2005,Brasil,Português,Michel Gonçalves Pinheiro
Dissertação de mestrado,Comportamento Eletromagnético so Solo no Domínio da Freqüência : Tratamento de Dados de campo e Influência no Desempenho de Linhas Aéreas de Transmissão de Energia Elétrica,2005,Brasil,Português,João Bosco Gertrudes
Dissertação de mestrado,ANÁLISE DA CORRETA MODELAGEM DA TRANSPOSIÇÃO EM LINHAS DE TRANSMISSÃO NO DOMÍNIO DA FREQÜÊNCIA,2006,Brasil,Português,Alexander Vladimir Elguera Flores
Dissertação de mestrado,Análise de Sensibilidade da Corrente de Arco Secundário Para Diferentes Linhas de Transmissão,2007,Brasil,Português,Milton Elvis Zevallos Alcahuaman
Dissertação de mestrado,Análise Comparativa de Técnicas de Controle de Sobretensões Transitórias nas Manobras de Energização e Religamento de Linhas de Transmissão,2007,Brasil,Português,Patricia Mestas Valero
Dissertação de mestrado,RELIGAMENTO MONOPOLAR ADAPTATIVO RÁPIDO BASEADO NA ASSINATURA HARMÔNICA DA TENSÃO DE ARCO SECUNDÁRIO,2009,Brasil,Português,Allan Alves Montanari
Dissertação de mestrado,UTILIZAÇÃO DE LINHAS DE TRANSMISSÃO SEMELHANTES NO ENSAIO DE ENERGIZAÇÃO DE UM TRONCO COM POUCO MAIS DE MEIO COMPRIMENTO DE ONDA,2012,Brasil,Português,ELSON COSTA GOMES
Dissertação de mestrado,Análise de Transitórios eletromagnéticos na manobras típicas para elo CA de meio comprimento de onda,2010,Brasil,Português,Rodrigo Fernandes Vidigal
Dissertação de mestrado,MAXIMIZAÇÃO DA POTÊNCIA CARACTERÍSTICA DE LINHAS DE TRANSMISSÃO USANDO MÉTODO DE OTIMIZAÇÃO NÃO LINEAR,2013,Brasil,Português,Renan de Paula Maciel
Dissertação de mestrado,CONTEÚDO HARMÔNICO E ESTIMATIVA DA VARIAÇÃO DE COMPRIMENTO DE ARCOS ELÉTRICOS GERADOS ARTIFICIALMENTE EM LINHAS DE TRANSMISSÃO,2012,Brasil,Português,Jonas Lemos Talaysis
Dissertação de mestrado,Obtenção dos parâmetros sustentados para modelagem de arco secundário em linha de 500 kV,2014,Brasil,Português,Athos Póvoa Garcia
Dissertação de mestrado,MODELAGEM DE UM RELÉ DE PROTEÇÃO DIFERENCIAL DE TRANSFORMADOR NO RTDS,2014,Brasil,Português,Fabiano Gustavo Silveira Magrin
Dissertação de mestrado,Estudo de transitórios eletromagnéticos em linhas longas compensadas para um pouco mais de meio comprimento de onda,2015,Brasil,Português,Javier Arturo Santiago Ortega
Dissertação de mestrado,Analysis of single-phase and three-phase auto reclosing maneuver to eliminate single line fault,2016,Brasil,Inglês,Hossein Yektaei
Dissertação de mestrado,Ampliação da capacidade de transmissão de linhas aéreas melhorando a geometria dos feixes,2016,Brasil,Português,Jhair Stivel Acosta Sarmiento
Dissertação de mestrado,Eletrificação de pequenas vilas próximas das linhas de transmissão usando acoplamento capacitivo dos cabos para-raios,2016,Brasil,Português,Joan Sebastian Chaves Huertas
Dissertação de mestrado,Nova metodologia para detecção de falta no religamento monopolar,2017,Brasil,Português,Leonardo Marques Nunes de Mattos
Dissertação de mestrado,Modelagem de um Relé de proteção direcional de linhas de transmissão no ATP,2016,Brasil,Português,Jacqueline Panez Izaguirre
Dissertação de mestrado,Estudo do Elemento Direcional de Proteção em uma Linha de Transmissão de um Pouco Mais de Meio Comprimento de Onda,2017,Brasil,Português,Juan David Villon Berrocal
Dissertação de mestrado,Implementação do religamento monopolar adaptativo rápido baseado na assinatura harmônica de tensão no simulador digital em tempo real (RTDS),2015,Brasil,Português,Ozenir Farah da Rocha Dias
