NOME-COMPLETO,NOME-PARA-CITACAO,ORDEM-DE-INTEGRACAO,FLAG-RESPONSAVEL,NRO-ID-CNPQ,EQUIPE-DO-PROJETO_Id
"Claudia Maria Bauzer Medeiros","MEDEIROS, C. M. B.;Medeiros, Claudia Bauzer;MEDEIROS, C. B.","1","SIM","4643608666899616",0
"Ricardo da Silva Torres","TORRES, Ricardo da Silva","2","NAO","3790201696145434",0
"Alexandre Xavier Falcao","FALCAO, Alexandre Xavier","3","NAO","",0
"Paulo Inacio Prado","PRADO, Paulo Inacio","4","NAO","",0
"Andre Freitas","FREITAS, Andre","5","NAO","",0
"Thomas Michael Lewinsohn","LEWINSOHN, Thomas Michael","6","NAO","1295138272121222",0
"Claudia Maria Bauzer Medeiros","MEDEIROS, C. M. B.;Medeiros, Claudia Bauzer;MEDEIROS, C. B.","1","SIM","4643608666899616",1
"Claudia Maria Bauzer Medeiros","MEDEIROS, C. M. B.;Medeiros, Claudia Bauzer;MEDEIROS, C. B.","1","SIM","4643608666899616",2
"Maria Cecilia Calani Baranauskas","BARANAUSKAS, Maria Cecilia Calani","2","NAO","1750385790843118",2
"Neucimar Jeronimo Leite","LEITE, N. J.","3","NAO","8647239680081745",2
"Ricardo da Silva Torres","TORRES, Ricardo da Silva","4","NAO","3790201696145434",2
"Edmundo Roberto Mauro Madeira","MADEIRA, Edmundo Roberto Mauro","5","NAO","1870389730408675",2
"Eliane Martins","MARTINS, Eliane","6","NAO","7628786577802962",2
"Alexandre Xavier Falcao","FALCAO, Alexandre Xavier","7","NAO","",2
"Jurandir Zullo Jr","ZULLO JR, Jurandir","8","NAO","",2
"Rubens Augusto Camargo Lamparelli","LAMPARELLI, Rubens Augusto Camargo","9","NAO","",2
"Claudia Maria Bauzer Medeiros","MEDEIROS, C. M. B.;Medeiros, Claudia Bauzer;MEDEIROS, C. B.","1","SIM","4643608666899616",3
"Maria Cecilia Calani Baranauskas","BARANAUSKAS, Maria Cecilia Calani","2","NAO","1750385790843118",3
"Neucimar Jeronimo Leite","LEITE, N. J.","3","NAO","8647239680081745",3
"Renato Fileto","FILETO, Renato","4","NAO","6405951782839858",3
"Eduardo Delgado Assad","ASSAD, Eduardo Delgado","5","NAO","2634785138594199",3
"Ricardo da Silva Torres","TORRES, Ricardo da Silva","6","NAO","3790201696145434",3
"Edmundo Roberto Mauro Madeira","MADEIRA, Edmundo Roberto Mauro","7","NAO","1870389730408675",3
"Eliane Martins","MARTINS, Eliane","8","NAO","7628786577802962",3
"Jurandir Zullo Jr","ZULLO JR, Jurandir","9","NAO","",3
"Rubens Augusto Camargo Lamparelli","LAMPARELLI, Rubens Augusto Camargo","10","NAO","",3
"Claudia Maria Bauzer Medeiros","MEDEIROS, C. M. B.;Medeiros, Claudia Bauzer;MEDEIROS, C. B.","1","SIM","4643608666899616",4
"Maria Cecilia Calani Baranauskas","BARANAUSKAS, Maria Cecilia Calani","2","NAO","1750385790843118",4
"Neucimar Jeronimo Leite","LEITE, N. J.","3","NAO","8647239680081745",4
"Ricardo da Silva Torres","TORRES, Ricardo da Silva","4","NAO","3790201696145434",4
"Edmundo Roberto Mauro Madeira","MADEIRA, Edmundo Roberto Mauro","5","NAO","1870389730408675",4
"Eliane Martins","MARTINS, Eliane","6","NAO","7628786577802962",4
"Jurandir Zullo Jr","ZULLO JR, Jurandir","7","NAO","",4
"Rubens Augusto Camargo Lamparelli","LAMPARELLI, Rubens Augusto Camargo","8","NAO","",4
"Jansle Vieira Rocha","ROCHA, Jansle Vieira","9","NAO","2810994603993810",4
"Claudia Maria Bauzer Medeiros","MEDEIROS, C. M. B.;Medeiros, Claudia Bauzer;MEDEIROS, C. B.","1","SIM","4643608666899616",5
"André Santanchè","SANTANCHÈ, André","2","NAO","5121623021406209",5
"Claudia Maria Bauzer Medeiros","MEDEIROS, C. M. B.;Medeiros, Claudia Bauzer;MEDEIROS, C. B.","1","SIM","4643608666899616",6
"Ricardo da Silva Torres","TORRES, Ricardo da Silva","2","NAO","3790201696145434",6
"Rubens Augusto Camargo Lamparelli","LAMPARELLI, Rubens Augusto Camargo","3","NAO","",6
"Jansle Vieira Rocha","ROCHA, Jansle Vieira","4","NAO","2810994603993810",6
"Sandro Rigo","RIGO, S.","5","NAO","",6
"Omar Carvalho Branquinho","BRANQUINHO, O. C.","6","NAO","",6
