NOME-DO-CANDIDATO,CODIGO-INSTITUICAO,NOME-INSTITUICAO,CODIGO-ORGAO,NOME-ORGAO,CODIGO-CURSO,NOME-CURSO,NOME-CURSO-INGLES,PARTICIPACAO-EM-BANCA-DE-DOUTORADO_Id
"Salem Chakhar","166400000007","Université Paris-Dauphine - Paris IX","","","","","",0
"Frederico Torres Fonseca","688100000004","University of Maine at Orono","","","90000005","Spatial Information Science and Engineering","",1
"Gilberto Antonio Gutiérrez Retamal","985600433982","Universidad de Chile","","","60039876","Doutorado em Computação","Computer Sciences",2
"Sophie Cockroft","563100000002","University of Otago","","","90000006","Computer Science","",3
"Dieter Pfoser","378300000001","Aalborg University","","","90000007","Computer Science","",4
"Silvia Gordillo","232700000004","Université Claude Bernarde Lyon 1","","","90000008","Informatique","",5
"José Moreira","370400000008","Ecole Nationale Superieure des Telecommunications","","","90000009","Informatique","",6
"Marc Joliveau","785500000003","Ecole Centrale Paris","","","90000010","Computação","",7
"Khaled Jouini","166400000007","Université Paris-Dauphine - Paris IX","","","","","",8
"Jean Paul Peloux","590600000009","Conservatoire National des Arts et Métiers","","","90000011","Ciencia da Computacao","",9
"Talel Abdessalem","166400000007","Université Paris-Dauphine - Paris IX","","","90000012","Ciencia da Computacao","",10
"Sami Faiz","576200000006","Universite D'Orsay","","","90000013","Ciencia da Computacao","",11
"Vincent Oria","370400000008","Ecole Nationale Superieure des Telecommunications","","","90000009","Informatique","",12
"Fernando Cordeiro de Lemos","888900000001","Universite de Versailles Saint-Quentin-en-Yvelines","","","90000015","Informatique","",13
