NOME-COMPLETO,NOME-PARA-CITACAO,ORDEM-DE-INTEGRACAO,FLAG-RESPONSAVEL,NRO-ID-CNPQ,EQUIPE-DO-PROJETO_Id
"Takaaki Ohishi","OHISHI, T.;OHISHI, TAKAAKI;Ohishi, T.;Takaaki Ohishi;Ohishi, Takaaki","1","NAO","4595465071420439",0
"Eugenio Spano Rosa","Eugenio Spano Rosa","2","SIM","5295563566350138",0
"Niederauer Mastelari","Niederauer Mastelari","3","NAO","",0
"RICARDO AUGUSTO MAZZA","MAZZA, R. A.","4","NAO","",0
"Takaaki Ohishi","OHISHI, T.;OHISHI, TAKAAKI;Ohishi, T.;Takaaki Ohishi;Ohishi, Takaaki","1","NAO","4595465071420439",1
"Paulo de Barros Correia","Correia, Paulo de Barros","2","SIM","",1
"Takaaki Ohishi","OHISHI, T.;OHISHI, TAKAAKI;Ohishi, T.;Takaaki Ohishi;Ohishi, Takaaki","1","NAO","4595465071420439",2
"Paulo de Barros Correia","Correia, Paulo de Barros","2","SIM","",2
"Takaaki Ohishi","OHISHI, T.;OHISHI, TAKAAKI;Ohishi, T.;Takaaki Ohishi;Ohishi, Takaaki","1","NAO","4595465071420439",3
"S. Soares","SOARES, S.","2","SIM","",3
"Marinho Gomes de Andrade Filho","ANDRADE FILHO, Marinho Gomes de","3","NAO","",3
"Zambelli, Monica","Zambelli, Monica","4","NAO","",3
"KADOWAKI, M.","KADOWAKI, M.","5","NAO","",3
"SALGADO, R.M.","SALGADO, R.M.","6","NAO","",3
"IVETTE RAYMUNDA LUNA HUAMANI","HUAMANI, I. R. L.","7","NAO","",3
"Takaaki Ohishi","OHISHI, T.;OHISHI, TAKAAKI;Ohishi, T.;Takaaki Ohishi;Ohishi, Takaaki","1","NAO","4595465071420439",4
"S. Soares","SOARES, S.","2","SIM","",4
"Adriano Alber de França Mendes Carneiro","CARNEIRO, A. A. F. M.","3","NAO","",4
"KADOWAKI, M.","KADOWAKI, M.","4","NAO","",4
"BALLINI, R.","BALLINI, R.","5","NAO","",4
"Takaaki Ohishi","OHISHI, T.;OHISHI, TAKAAKI;Ohishi, T.;Takaaki Ohishi;Ohishi, Takaaki","1","NAO","4595465071420439",5
"S. Soares","SOARES, S.","2","SIM","",5
"KADOWAKI, M.","KADOWAKI, M.","3","NAO","",5
"BALLINI, R.","BALLINI, R.","4","NAO","",5
"Takaaki Ohishi","OHISHI, T.;OHISHI, TAKAAKI;Ohishi, T.;Takaaki Ohishi;Ohishi, Takaaki","1","NAO","4595465071420439",6
"S. Soares","SOARES, S.","2","SIM","",6
"Makoto Kadowaki","KADOWAKI, Makoto","3","NAO","",6
"Luna, Ivette","Luna, Ivette","4","NAO","",6
"Takaaki Ohishi","OHISHI, T.;OHISHI, TAKAAKI;Ohishi, T.;Takaaki Ohishi;Ohishi, Takaaki","1","NAO","4595465071420439",7
"S. Soares","SOARES, S.","2","SIM","",7
"Luna, Ivette","Luna, Ivette","3","NAO","",7
"KADOWAKI, M.","KADOWAKI, M.","4","NAO","",7
"Takaaki Ohishi","OHISHI, T.;OHISHI, TAKAAKI;Ohishi, T.;Takaaki Ohishi;Ohishi, Takaaki","1","NAO","4595465071420439",8
"S. Soares","SOARES, S.","2","SIM","",8
"Makoto Kadowaki","KADOWAKI, Makoto","3","NAO","",8
"Takaaki Ohishi","OHISHI, T.;OHISHI, TAKAAKI;Ohishi, T.;Takaaki Ohishi;Ohishi, Takaaki","1","SIM","4595465071420439",9
"S. Soares","SOARES, S.","2","NAO","",9
"Makoto Kadowaki","KADOWAKI, Makoto","3","NAO","",9
"Takaaki Ohishi","OHISHI, T.;OHISHI, TAKAAKI;Ohishi, T.;Takaaki Ohishi;Ohishi, Takaaki","1","NAO","4595465071420439",10
"S. Soares","SOARES, S.","2","SIM","",10
"Takaaki Ohishi","OHISHI, T.;OHISHI, TAKAAKI;Ohishi, T.;Takaaki Ohishi;Ohishi, Takaaki","1","SIM","4595465071420439",11
"S. Soares","SOARES, S.","2","NAO","",11
"SALGADO, R.M.","SALGADO, R.M.","3","NAO","",11
"BALLINI, R.","BALLINI, R.","4","NAO","",11
