NOME-DO-CANDIDATO,CODIGO-INSTITUICAO,NOME-INSTITUICAO,CODIGO-ORGAO,NOME-ORGAO,CODIGO-CURSO,NOME-CURSO,NOME-CURSO-INGLES,PARTICIPACAO-EM-BANCA-DE-DOUTORADO_Id
"Marco Aurélio de Almeida Castro","006700000002","Universidade de São Paulo","","","33050104","Engenharia Elétrica","Electric Engineering",0
"Oderson Dias de Mello","007900000004","Universidade Estadual de Campinas","","","60034394","Doutorado em Engenharia Elétrica","Engineering",1
"Thyago Carvalho Marques","007900000004","Universidade Estadual de Campinas","","","60034394","Doutorado em Engenharia Elétrica","Engineering",2
"Manoel Henrique da Nóbrega Marinho","007900000004","Universidade Estadual de Campinas","","","60034394","Doutorado em Engenharia Elétrica","Engineering",3
"Márcia Braga de Carvalho","007900000004","Universidade Estadual de Campinas","","","60034394","Doutorado em Engenharia Elétrica","Engineering",4
"Jussara Rodrigues Ciappina","007900000004","Universidade Estadual de Campinas","","","60034394","Doutorado em Engenharia Elétrica","Engineering",5
"Makoto Kadowaki","007900000004","Universidade Estadual de Campinas","","","","","",6
"Marcos de Almeida Leone Filho","007900000004","Universidade Estadual de Campinas","","","60034394","Doutorado em Engenharia Elétrica","Engineering",7
"Odilon Luís Tortelli","007900000004","Universidade Estadual de Campinas","","","60034394","Doutorado em Engenharia Elétrica","Engineering",8
"Glauber Renato Colnago","007900000004","Universidade Estadual de Campinas","","","60043628","Doutorado","Doctorate",9
"Carlos David Franco Barbosa","007900000004","Universidade Estadual de Campinas","","","90000004","Doutorado em Engenharia Civil","",10
"Ricardo Menezes Salgado","007900000004","Universidade Estadual de Campinas","","","90000005","Doutorado em Engenharia Elétrica","",11
"Frederico Silva Moreira","007900000004","Universidade Estadual de Campinas","","","60034394","Doutorado em Engenharia Elétrica","Engineering",12
"Sonia Angelina Garcia Modesto","007900000004","Universidade Estadual de Campinas","","","90000005","Doutorado em Engenharia Elétrica","",13
