NOME-DO-CANDIDATO,CODIGO-INSTITUICAO,NOME-INSTITUICAO,CODIGO-ORGAO,NOME-ORGAO,CODIGO-CURSO,NOME-CURSO,NOME-CURSO-INGLES,PARTICIPACAO-EM-BANCA-DE-DOUTORADO_Id
"Cedric Marcelo Augusto Ayala Bravo","007900000004","Universidade Estadual de Campinas","","","33070229","Engenharia Mecânica","Mechanical Engineering",0
"Alexandre Teixeira Neto","007900000004","Universidade Estadual de Campinas","","","","","",1
"ntonio Manoel Ferreira Frassoon","007900000004","Universidade Estadual de Campinas","","","","","",2
"Alberto Costa Nogueira Junior","007900000004","Universidade Estadual de Campinas","","","","","",3
"Takashi Yojo","802500000007","Escola Politécnica da Universidade de São Paulo","","","","","",4
"José Maria Campos dos Santos","007900000004","Universidade Estadual de Campinas","","","33070229","Engenharia Mecânica","Mechanical Engineering",5
"Marcelo Novaes de Rezende","006740000003","Escola de Engenharia de São Carlos","","","90000008","Icmc","",6
"Paulo Rafael Bosing","006700000002","Universidade de São Paulo","","","33020051","Matemática","Mathematics",7
"Manoel Silvino Batalha de Araújo","006700000002","Universidade de São Paulo","","","33050040","Ciências da Computação e Matemática Computacional","Computer Science",8
"Regina Célia Guedes Leite","033300000002","Universidade Federal de Minas Gerais","","","32000383","Engenharia de Estruturas","Structures",9
"George Oliveira Ainsworth Junior","020200000009","Universidade Federal do Rio de Janeiro","","","60040467","COPPE - Engenharia Mecânica","Engineering",10
"Lucas Batista Freitas","007900000004","Universidade Estadual de Campinas","","","33070059","Ciência da Computação","Computer Science",11
"Andre Luis Rossa","020200000009","Universidade Federal do Rio de Janeiro","","","31000282","Engenharia Civil","Civil Engineering",12
"Alexandre Beletti Ferreira","006700000002","Universidade de São Paulo","","","33020426","Engenharia de Estruturas","Civil Engineering",13
"Diego Paredes","001900000005","Laboratório Nacional de Computação Científica","","","60010592","Modelagem Computacional","Multidisciplinary",14
