NOME-COMPLETO,NOME-PARA-CITACAO,ORDEM-DE-INTEGRACAO,FLAG-RESPONSAVEL,NRO-ID-CNPQ,EQUIPE-DO-PROJETO_Id
"Philippe Remy Bernard Devloo","DEVLOO, P. R. B.;DEVLOO, PHILIPPE R.B.;Devloo, P. R. B.;P. R. B. Devloo;Devloo, Philippe R. B.","1","SIM","6051486998967925",0
"Sonia Maria Gomes","GOMES, S. M.","2","NAO","6979417654874483",0
"Jorge Diaz Calle","CALLE, J. D.","3","NAO","2049910703027682",0
"Agnaldo Monteiro Farias","FARIAS, A. M.","4","NAO","2401725550781559",0
"LUCCI,P.C.A. (Paulo Cesar de Alvarenga Lucci)","Paulo Cesar de Alvarenga Lucci","5","NAO","",0
"Denise de Siqueira","SIQUEIRA, D.","6","NAO","",0
"Diogo Cecílio","CECILIO, D.","7","NAO","2594284000782489",0
"Edson Borin","BORIN, E.","8","NAO","4176915322233893",0
"João Luis Gonçalves","GONCALVES, J. L.","9","NAO","",0
"Felipe Pontes","PONTES, F.","10","NAO","",0
"Omar Duran","DURAN, O.","11","NAO","",0
"Philippe Remy Bernard Devloo","DEVLOO, P. R. B.;DEVLOO, PHILIPPE R.B.;Devloo, P. R. B.;P. R. B. Devloo;Devloo, Philippe R. B.","1","SIM","6051486998967925",1
"José Luiz Antunes de Oliveira e Sousa","SOUSA, J. L. A. O. E.","2","NAO","4329586014611628",1
"Sonia Maria Gomes","GOMES, S. M.","3","NAO","6979417654874483",1
"Tiago Forti","FORTI, T.","4","NAO","9586074227742751",1
"Edimar Cesar Rylo","RYLO, E. C.","5","NAO","7462096912445959",1
"Denis José Schiozer","SCHIOZER, Denis José","6","NAO","",1
"Leandro Palermo Junior","PALERMO JUNIOR, L.","7","NAO","",1
"Philippe Remy Bernard Devloo","DEVLOO, P. R. B.;DEVLOO, PHILIPPE R.B.;Devloo, P. R. B.;P. R. B. Devloo;Devloo, Philippe R. B.","1","SIM","6051486998967925",2
"José Luiz Antunes de Oliveira e Sousa","SOUSA, J. L. A. O. E.","2","NAO","4329586014611628",2
"Sonia Maria Gomes","GOMES, S. M.","3","NAO","6979417654874483",2
"Gustavo Camargo Longhin","LONGHIN, G. C.","4","NAO","9121612523149859",2
"Tiago Luis Duarte Forti","FORTI, T. L. D.","5","NAO","9586074227742751",2
"Edimar Cesar Rylo","RYLO, E. C.","6","NAO","7462096912445959",2
"Renato Gomes Damas","DAMAS, R. G.","7","NAO","",2
"Philippe Remy Bernard Devloo","DEVLOO, P. R. B.;DEVLOO, PHILIPPE R.B.;Devloo, P. R. B.;P. R. B. Devloo;Devloo, Philippe R. B.","1","SIM","6051486998967925",3
"Sonia Maria Gomes","GOMES, S. M.","2","NAO","6979417654874483",3
"Erick Slis Raggio Santos","SANTOS, E. S. R.","3","NAO","6586851137916033",3
"Tiago Luis Duarte Forti","FORTI, T. L. D.","4","NAO","9586074227742751",3
"Alberto Costa Nogueira Junior","NOGUEIRA JUNIOR, A. C.","5","NAO","",3
"Claudio Alessandro de Carvalho Silva","SILVA, C. A. C.","6","NAO","",3
"João Luiz Filgueira de Azevedo","AZEVEDO, J. L. F.","7","NAO","",3
"Philippe Remy Bernard Devloo","DEVLOO, P. R. B.;DEVLOO, PHILIPPE R.B.;Devloo, P. R. B.;P. R. B. Devloo;Devloo, Philippe R. B.","1","NAO","6051486998967925",4
"Sonia Maria Gomes","GOMES, S. M.","2","NAO","6979417654874483",4
"Jorge Diaz Calle","CALLE, J. D.","3","SIM","2049910703027682",4
"Philippe Remy Bernard Devloo","DEVLOO, P. R. B.;DEVLOO, PHILIPPE R.B.;Devloo, P. R. B.;P. R. B. Devloo;Devloo, Philippe R. B.","1","SIM","6051486998967925",5
"Philippe Remy Bernard Devloo","DEVLOO, P. R. B.;DEVLOO, PHILIPPE R.B.;Devloo, P. R. B.;P. R. B. Devloo;Devloo, Philippe R. B.","1","SIM","6051486998967925",6
"Sonia Maria Gomes","GOMES, S. M.","2","NAO","6979417654874483",6
"Tiago Luis Duarte Forti","FORTI, T. L. D.","3","NAO","9586074227742751",6
"Jorge Lizardo Diaz Calle","CALLE, J. L. D.","4","NAO","",6
"Agnaldo Monteiro Farias","FARIAS, A. M.","5","NAO","2401725550781559",6
"LUCCI,P.C.A. (Paulo Cesar de Alvarenga Lucci)","Paulo Cesar de Alvarenga Lucci","6","NAO","",6
"Denise de Siqueira","SIQUEIRA, D.","7","NAO","",6
"Philippe Remy Bernard Devloo","DEVLOO, P. R. B.;DEVLOO, PHILIPPE R.B.;Devloo, P. R. B.;P. R. B. Devloo;Devloo, Philippe R. B.","1","SIM","6051486998967925",7
"Edimir M. Brandão","BRANDAO, E. M.","2","NAO","",7
"Newton de Oliveira Pinto Júnior","PINTO JUNIOR, N. O.","3","NAO","",7
"Philippe Remy Bernard Devloo","DEVLOO, P. R. B.;DEVLOO, PHILIPPE R.B.;Devloo, P. R. B.;P. R. B. Devloo;Devloo, Philippe R. B.","1","SIM","6051486998967925",8
"Gustavo Camargo Longhin","LONGHIN, G. C.","2","NAO","9121612523149859",8
"Tiago Luis Duarte Forti","FORTI, T. L. D.","3","NAO","9586074227742751",8
"Edimar Cesar Rylo","RYLO, E. C.","4","NAO","7462096912445959",8
"Philippe Remy Bernard Devloo","DEVLOO, P. R. B.;DEVLOO, PHILIPPE R.B.;Devloo, P. R. B.;P. R. B. Devloo;Devloo, Philippe R. B.","1","SIM","6051486998967925",9
"CASTRO, DOUGLAS A.","CASTRO, DOUGLAS A.","2","NAO","",9
"Philippe Remy Bernard Devloo","DEVLOO, P. R. B.;DEVLOO, PHILIPPE R.B.;Devloo, P. R. B.;P. R. B. Devloo;Devloo, Philippe R. B.","1","SIM","6051486998967925",10
"Sonia Maria Gomes","GOMES, S. M.","2","NAO","6979417654874483",10
"Jorge Lizardo Diaz Calle","CALLE, J. L. D.","3","NAO","",10
"Philippe Remy Bernard Devloo","DEVLOO, P. R. B.;DEVLOO, PHILIPPE R.B.;Devloo, P. R. B.;P. R. B. Devloo;Devloo, Philippe R. B.","1","SIM","6051486998967925",11
"Philippe Remy Bernard Devloo","DEVLOO, P. R. B.;DEVLOO, PHILIPPE R.B.;Devloo, P. R. B.;P. R. B. Devloo;Devloo, Philippe R. B.","1","NAO","6051486998967925",12
"Sonia Maria Gomes","GOMES, S. M.","2","SIM","6979417654874483",12
"Philippe Remy Bernard Devloo","DEVLOO, P. R. B.;DEVLOO, PHILIPPE R.B.;Devloo, P. R. B.;P. R. B. Devloo;Devloo, Philippe R. B.","1","SIM","6051486998967925",13
"José Sérgio Rodrigues ALVES","ALVES, J. S. R.","2","NAO","",13
"Philippe Remy Bernard Devloo","DEVLOO, P. R. B.;DEVLOO, PHILIPPE R.B.;Devloo, P. R. B.;P. R. B. Devloo;Devloo, Philippe R. B.","1","SIM","6051486998967925",14
"Philippe Remy Bernard Devloo","DEVLOO, P. R. B.;DEVLOO, PHILIPPE R.B.;Devloo, P. R. B.;P. R. B. Devloo;Devloo, Philippe R. B.","1","SIM","6051486998967925",15
"Francisco Antonio Menezes","MENEZES, F. A.","2","NAO","7334895542373360",15
