NOME-DO-CANDIDATO,CODIGO-INSTITUICAO,NOME-INSTITUICAO,CODIGO-ORGAO,NOME-ORGAO,CODIGO-CURSO,NOME-CURSO,NOME-CURSO-INGLES,PARTICIPACAO-EM-BANCA-DE-MESTRADO_Id
"Misael Luís S. Mandujano","007900000004","Universidade Estadual de Campinas","","","33070415","Engenharia Civil","Civil Engineering",0
"Renato Marques de Barros","007900000004","Universidade Estadual de Campinas","","","33070229","Engenharia Mecânica","Mechanical Engineering",1
"Jefferson Cassiano","007900000004","Universidade Estadual de Campinas","","","33070415","Engenharia Civil","Civil Engineering",2
"Oscar Alfredo Garcia de Suarez","004300000009","Universidade Federal de Santa Catarina","","","","","",3
"Gustavo Longhin","007900000004","Universidade Estadual de Campinas","","","","","",4
"Rodrigo Ribeiro Pacolla","007900000004","Universidade Estadual de Campinas","","","","","",5
"Wanderson José Lambert","007900000004","Universidade Estadual de Campinas","","","","","",6
"Luís Pedro C. P. F. e Almeida","007900000004","Universidade Estadual de Campinas","","","","","",7
"Carlos Eduardo Leite Pereira","007900000004","Universidade Estadual de Campinas","","","","","",8
"Newton Damasio dos Santos","007900000004","Universidade Estadual de Campinas","","","","","",9
"Regina Célia Guedes Leite","033300000002","Universidade Federal de Minas Gerais","","","","","",10
"Edimar Cesar Rylo","007900000004","Universidade Estadual de Campinas","","","","","",11
"Luís Pedro C. P. F. e Almeida","007900000004","Universidade Estadual de Campinas","","","","","",12
"Fabio Henrique Mauad","007900000004","Universidade Estadual de Campinas","","","","","",13
"Marcelle Andrade Costa","007900000004","Universidade Estadual de Campinas","","","","","",14
"Renato Frota de Souza Junior","007900000004","Universidade Estadual de Campinas","","","","","",15
"Tiago Luís Duarte Forti","007900000004","Universidade Estadual de Campinas","","","","","",16
"Renato Gomes Damas","007900000004","Universidade Estadual de Campinas","","","","","",17
"Armando Diório Filho","007900000004","Universidade Estadual de Campinas","","","33070415","Engenharia Civil","Civil Engineering",18
"Márcio Rodolfo Fernandes","007900000004","Universidade Estadual de Campinas","","","33070040","Matemática Aplicada","Mathematics",19
"Anderson Carlos Gatti","007900000004","Universidade Estadual de Campinas","","","33070415","Engenharia Civil","Civil Engineering",20
"Renato Henrique Ferreira Branco","007900000004","Universidade Estadual de Campinas","","","33070415","Engenharia Civil","Civil Engineering",21
"Anderson Carlos Gatti","007900000004","Universidade Estadual de Campinas","","","33070415","Engenharia Civil","Civil Engineering",22
"Bruno Cesarino Soares","033300000002","Universidade Federal de Minas Gerais","","","32000383","Engenharia de Estruturas","Structures",23
"Bruno Cesarino Soares","033300000002","Universidade Federal de Minas Gerais","","","32000383","Engenharia de Estruturas","Structures",24
"Renato Aparecido Pimentel da Silva","000900000996","Instituto de Ciencias Matematicas e de Computação - USP","","","","","",25
"Guilherme Blaitterman Ribeiro Junior","","","","","","","",26
"Rafael Alves Bonfim de Queiroz","006700000002","Universidade de São Paulo","","","33050040","Ciências da Computação e Matemática Computacional","Computer Science",27
"Tiago Corrêa de Araújo de Amorim","007900000004","Universidade Estadual de Campinas","","","33070482","Engenharia de Petróleo","Mechanical Engineering",28
"Guilherme da Silva Niedu","020200000009","Universidade Federal do Rio de Janeiro","","","31000290","Engenharia Elétrica","Electric Engineering",29
"Mário Aparecido Corrêa","007900000004","Universidade Estadual de Campinas","","","","","",30
