NOME-COMPLETO,NOME-PARA-CITACAO,ORDEM-DE-INTEGRACAO,FLAG-RESPONSAVEL,NRO-ID-CNPQ,EQUIPE-DO-PROJETO_Id
"Luciana Gonzaga de Oliveira","De OLIVEIRA, L. G.;Oliveira, Luciana G. de;de Oliveira, Luciana Gonzaga;OLIVEIRA, LUCIANA GONZAGA DE;OLIVEIRA, LUCIANA G.;GONZAGA DE OLIVEIRA, LUCIANA;DE OLIVEIRA, LUCIANA G.","1","SIM","2259584579907307",0
"Luciana Gonzaga de Oliveira","De OLIVEIRA, L. G.;Oliveira, Luciana G. de;de Oliveira, Luciana Gonzaga;OLIVEIRA, LUCIANA GONZAGA DE;OLIVEIRA, LUCIANA G.;GONZAGA DE OLIVEIRA, LUCIANA;DE OLIVEIRA, LUCIANA G.","1","SIM","2259584579907307",1
"Gabriela Desiree Tormet","TORMET, G. D.","2","NAO","",1
"Dayane Christine Costa Moreira Coqueiro","COQUEIRO, D. C. C. M.","3","NAO","",1
"Lucas Henrique Colombo","COLOMBO, L. H.","4","NAO","",1
"Luciana Gonzaga de Oliveira","De OLIVEIRA, L. G.;Oliveira, Luciana G. de;de Oliveira, Luciana Gonzaga;OLIVEIRA, LUCIANA GONZAGA DE;OLIVEIRA, LUCIANA G.;GONZAGA DE OLIVEIRA, LUCIANA;DE OLIVEIRA, LUCIANA G.","1","NAO","2259584579907307",2
"Anita Jocelyne Marsaioli","MARSAIOLI, A. J.","2","SIM","6882578512943651",2
"Lu Shi Chen","CHEN, L. S.","3","NAO","8660931786040886",2
"Suzan P. de Vasconcelos","VASCONCELOS, S. P.","4","NAO","",2
"Simone M. Mantovani","MANTOVANI, S. M.","5","NAO","3757023450938992",2
"Georgiana F. da Cruz","CRUZ, G. F.","6","NAO","",2
"Luciana Gonzaga de Oliveira","De OLIVEIRA, L. G.;Oliveira, Luciana G. de;de Oliveira, Luciana Gonzaga;OLIVEIRA, LUCIANA GONZAGA DE;OLIVEIRA, LUCIANA G.;GONZAGA DE OLIVEIRA, LUCIANA;DE OLIVEIRA, LUCIANA G.","1","SIM","2259584579907307",3
"Simone M. Mantovani","MANTOVANI, S. M.","2","NAO","3757023450938992",3
"Patricia Tonon de Souza","Souza P.T.","3","NAO","",3
"Luciana Gonzaga de Oliveira","De OLIVEIRA, L. G.;Oliveira, Luciana G. de;de Oliveira, Luciana Gonzaga;OLIVEIRA, LUCIANA GONZAGA DE;OLIVEIRA, LUCIANA G.;GONZAGA DE OLIVEIRA, LUCIANA;DE OLIVEIRA, LUCIANA G.","1","SIM","2259584579907307",4
"Simone M. Mantovani","MANTOVANI, S. M.","2","NAO","3757023450938992",4
"Patricia Tonon de Souza","Souza P.T.","3","NAO","",4
