NOME-DO-CANDIDATO,CODIGO-INSTITUICAO,NOME-INSTITUICAO,CODIGO-ORGAO,NOME-ORGAO,CODIGO-CURSO,NOME-CURSO,NOME-CURSO-INGLES,PARTICIPACAO-EM-BANCA-DE-DOUTORADO_Id
"Luis Gustavo de Souza Filho","000200000993","Instituto de Química - UNICAMP","","","90000024","Doutorado em Ciências","",0
"Nídia Cristiane Yoshida","006700000002","Universidade de São Paulo","","","33020094","Química Orgânica","Chemistry",1
"Taicia Pacheco Fill","033500000006","Universidade Federal de São Carlos","","","33010056","Química","Chemistry",2
"Fábio Renato Pereira","001500000997","Universidade de São Paulo","","","90000027","Pós-Graduação - IQSC","",3
"Fernando Contiguiba da Silva","033000000007","Universidade Estadual Paulista Júlio de Mesquita Filho","","","33080720","Química","Chemistry",4
"Maria Augusta Crivelente Horta","007900000004","Universidade Estadual de Campinas","","","33070245","Genética e Biologia Molecular","Genetics",5
"Luis Gustavo de Souza Filho","007900000004","Universidade Estadual de Campinas","","","33070075","Química","Chemistry",6
"Lucimara Júlio Martins Barreiro","007900000004","Universidade Estadual de Campinas","","","33070075","Química","Chemistry",7
"Célio Fernando Figueiredo Angolini","007900000004","Universidade Estadual de Campinas","","","33070075","Química","Chemistry",8
"Gilmar Araújo Brito Júnior","000200000993","Instituto de Química - UNICAMP","","","90000024","Doutorado em Ciências","",9
"João Luiz Baldim Zanin","867100000004","Universidade Federal de Alfenas","","","60055081","Química","",10
"Bruna Zucoloto da Costa","000200000993","Instituto de Química - UNICAMP","","","90000024","Doutorado em Ciências","",11
"Carla Porto da Silva","000200000993","Instituto de Química - UNICAMP","","","90000024","Doutorado em Ciências","",12
"Natália Alvarenga da Silva","001500000997","Universidade de São Paulo","","","90000027","Pós-Graduação - IQSC","",13
"Everton Leandro de França Ferreira","001500000997","Universidade de São Paulo","","","90000027","Pós-Graduação - IQSC","",14
"Marilia Simão dos Santos","007900000004","Universidade Estadual de Campinas","","","33070075","Química","Chemistry",15
