TIPO,TITULO,ANO,PAIS,IDIOMA,NOME_DO_ORIENTADO
Dissertação de mestrado,Uma Proposta de Arquitetura Para Ambientes de Aprendizado Baseados Em Simulação,1995,Brasil,Português,Daniel Weller
Dissertação de mestrado,Design de Ambientes Computacionais Para Modelagem Em Um Contexto Educacional,1995,Brasil,Português,Osvaldo Luis de Oliveira
Dissertação de mestrado,O Design Centrado No Aprendiz No Sistema Jonas: Uma Experiência de Formação Na Indústria,1997,Brasil,Português,Marcos Augusto Francisco Borges
Dissertação de mestrado,Design de Um Ambiente Computacional de Modelagem e Simulação Para Formação de Pessoal Na Indústria,1997,Brasil,Português,Edmar Lourenço Borges
Dissertação de mestrado,Contribuições da Semiótica ao Redesign de Interfaces para Ferramentas de Comunicação Eletrônica,2000,Brasil,Português,Flavia Rossler
Dissertação de mestrado,Estudo e Desenvolvimento de Ambientes de Aprendizado Colaborativo a Distância para o Contexto da Educação Inclusiva,2000,Brasil,Português,Gianfrancesca Cutini Barcellos
Dissertação de mestrado,Uma Abordagem Participativa ao Design de Ambiente Computacional de Apoio a Discussão de Problemas no Contexto de Trabalho,2001,Brasil,Português,André Marcos da Silva
Dissertação de mestrado,Contribuições da Abordagem Semiótica ao Estudo de Interfaces de Sistemas de Informação Geográfica,2001,Brasil,Português,Alysson Bolognesi Prado
Dissertação de mestrado,Interface 3D de Aplicações SIG como Espaços de Comunicação,2002,Brasil,Português,Juliano Schimiguel
Dissertação de mestrado,Uma Abordagem Semiótica para o Design de Portais Infantis com a Participação da Criança,2003,Brasil,Português,Amanda Meincke Melo
Dissertação de mestrado,Estendendo Ambientes de Suporte a Trabalho Cooperativo com Base no Conceito de Workflow,2003,Brasil,Português,Sofia Mara de Souza
Dissertação de mestrado,A Prática de Desenvolvimento de Software e a Abordagem da Semiótica Organizacional,2003,Brasil,Português,Carlos Alberto Cocozza Simoni
Dissertação de mestrado,Estudo e Proposta de Práticas Participativas na Gestão de Requisitos,2004,Brasil,Português,Elaine Cristina da Cruz Miravete Vianna
Dissertação de mestrado,GECON: Um Gerenciador de Conteúdos na Web para Não Especialistas em Informática,2004,Brasil,Português,Roberto Romani
Dissertação de mestrado,Visualização de Informação Aplicada a Resultados de Mecanismos de Busca,2005,Brasil,Português,Cláudio Maximiliano Zaina
Dissertação de mestrado,Modelagem e Proposta de Sistema para Mediar Processos de Comunicação em Organizações Enxutas,2005,Brasil,Português,Raquel Zarattini Chebabi
Dissertação de mestrado,Linguagens Declarativas e Tecnologias da Web no Desenvolvimento de Interfaces de Usuário de Dispositivos Portáteis,2005,Brasil,Português,João Loureiro Júnior
Dissertação de mestrado,Apoio à Avaliação de Usabilidade na Web - Desenvolvimento do UseWeb,2006,Brasil,Português,João Amâncio Gonçalves de Oliveira júnior
Dissertação de mestrado,Artefatos da Semiótica organizacional na Elicitação de Requisitos para Soluções de Data Warehouse,2006,Brasil,Português,João Marcos Bonadio de Faria
Dissertação de mestrado,Uma Abordagem Semiótica e Participativa para Customização de um Portal Infantil ao Trabalho de Grupos,2006,Brasil,Português,Sílvia Cristina de Matos Soares
Dissertação de mestrado,Práticas Participativas na Elicitação de Requisitos para Database Marketing,2006,Brasil,Português,Fernanda R. Benhami dos Santos
Dissertação de mestrado,Interação na TV Digital: Estudo e Proposta de Aplicação em Governo Eletrônico,2008,Brasil,Português,Lara Schibelsky Godoy Piccolo
Dissertação de mestrado,Design de interação em serviços inclusivos de governo eletrônico,2008,Brasil,Português,Heiko Horst Hornung
Dissertação de mestrado,Identificação de Padrões de Utilização da Web Mediada por Tecnologias Assistivas,2009,Brasil,Português,Vagner Figuerêdo de Santana
Dissertação de mestrado,Aprendizagem Colaborativa Baseada em Problemas ? ACBP: Modelo Conceitual e Ferramentas,2009,Brasil,Português,Diego Samir Melo Solarte
Dissertação de mestrado,Normas no Desenvolvimento de Ambientes Web Inclusivos e Flexíveis,2010,Brasil,Português,Frederico José Fortuna
Dissertação de mestrado,Estudo e Proposta de Ferramentas para Comunicação e Expressão em Redes Sociais Inclusivas Online,2010,Brasil,Português,Elaine Cristina Saito Hayashi
Dissertação de mestrado,Busca Informada por Abordagem Semiótica em Redes Sociais Inclusivas Online,2011,Brasil,Português,Júlio Cesar dos Reis
Dissertação de mestrado,Redesign de Interfaces de Usuário em Sistemas de Gestão Territorial na Web,2011,Brasil,Português,Carlos Alberto de Carvalho
Dissertação de mestrado,Serviços Públicos em Aplicação Interativa para TV Digital: Viabilizando o Canal da Cidadania,2011,Brasil,Português,Mateus dos Santos
