TIPO,TITULO,ANO,PAIS,IDIOMA,NOME_DO_ORIENTADO
Tese de doutorado,Design da Interação em Ambientes Virtuais: uma Abordagem Semiótica,2000,Brasil,Português,Osvaldo Luiz de Oliveira
Tese de doutorado,O Modelo Fractal de Comunicação: Criando um Espaço de Análise para Inspeção do Processo de Design de Software,2001,Brasil,Português,Juliana Pereira Salles
Tese de doutorado,Um Processo para Análise da Interação em Sistemas Colaborativos Mediados por Ferramentas Computacionais para Comunicação Textual,2004,Brasil,Português,Marcos Augusto Francisco Borges
Tese de doutorado,Um Modelo de Desenvolvimento de Sistemas para Suporte à Cooperação Fundamentado em Design Participativo e Semiótica Organizacional,2004,Brasil,Português,Rodrigo Bonacin
Tese de doutorado,Um Framework para Avaliação de Interfaces de Aplicações SIG Web no Domínio Agrícola,2006,Brasil,Português,Juliano Schimiguel
Tese de doutorado,Sistemas Críticos sob a Perspectiva do Design de Interação e Comunicação,2010,Brasil,Português,Marcos Salenko Guimarães
Tese de doutorado,Estudo e Proposta de um Framework para o Design de Interfaces de Usuário Ajustáveis,2010,Brasil,Português,Vânia Paula de Almeida Neris
Tese de doutorado,Awareness do Espaço de Trabalho em Ambientes Colaborativos Inclusivos na Web,2011,Brasil,Português,Leonelo Dell Anhol Almeida
Tese de doutorado,Artefatos e Linguagens de Interação com Sistemas Digitais Contemporâneos: Os Anéis Interativos Ajustáveis para a Televisão Digital Interativa,2010,Brasil,Português,Leonardo Cunha de Miranda
Tese de doutorado,Design Inclusivo de Sistemas de Informação na Web,2007,Brasil,Português,Amanda Meincke Melo
Tese de doutorado,Interfaces Autoajustáveis em Websites: Contribuições em Direção ao Design para Todos,2012,Brasil,Inglês,Vagner Figuerêdo de Santana
Tese de doutorado,Rede de Autoridades e Apoio às Interações Sociais na Web: uma Abordagem Culturalmente Informada,2012,Brasil,Português,Roberto Pereira
Tese de doutorado,Design da Interação na Web Pragmática ? Reduzindo Barreiras Semióticas na Colaboração Mediada pela Web,2013,Brasil,Português,Heiko Hornung
Tese de doutorado,Motivational Aspects in the Design of Technology for Social Change,2015,Brasil,Inglês,Lara Schibelsky Godoy Piccolo
Tese de doutorado,Affective quality in computational systems Interaction design for and with children in educational context,2016,Brasil,Inglês,Elaine Cristina Saito Hayashi
Tese de doutorado,UMA ANÁLISE DO PAPEL DE SISTEMAS COMPUTACIONAIS COMO MEDIADORES EM REDES SOCIOTÉCNICAS CIENTÍFICAS SOB A ÓTICA DA ACTOR-NETWORK THEORY,2017,Brasil,Português,Alysson Bolognesi Prado
Tese de doutorado,Interfaces Tangíveis e o Design de Ambientes Educacionais para Co-construção de Narrativas,2015,Brasil,Português,Julian Esteban Gutierrez Posada
Tese de doutorado,Teaching Practice and Learning Design: a Reflective Model for Professional Growth,2014,Brasil,Inglês,Alessandro Arpetti
Tese de doutorado,Sistemas Wearable baseados em Métodos de Visão Computacional para Auxiliar Pessoas com Deficiência Visual,2016,Brasil,Português,Laurindo de Souza Britto Neto
Tese de doutorado,Jogos com Propósito e Construção de Conhecimento em Design,2013,Brasil,Português,Roberto Romani
