SEQUENCIA-FUNCAO-ATIVIDADE,FLAG-PERIODO,MES-INICIO,ANO-INICIO,MES-FIM,ANO-FIM,CODIGO-ORGAO,NOME-ORGAO,CODIGO-UNIDADE,NOME-UNIDADE,ESTAGIO-REALIZADO,ATIVIDADES-DE-ESTAGIO_Id
"1","ANTERIOR","05","2005","11","2005","000101000995","CTG/MTL/PSL","","","Pesquisa na área de compiladores e arquitetura de computadores",0
"1","ANTERIOR","8","2001","12","2001","985600069164","Instituto de Computação","985600069164","Instituto de Computação","Programa de Estágio Docente na Atividade Supervisionada de Apoio a Docência",1
