NOME-COMPLETO,NOME-PARA-CITACAO,ORDEM-DE-INTEGRACAO,FLAG-RESPONSAVEL,NRO-ID-CNPQ,EQUIPE-DO-PROJETO_Id
"Rodrigo Teruo Tomita","TOMITA, R. T.","5","NAO","3354975252000568",4
"Aminadab Nunes","NUNES, Aminadab","6","NAO","",4
"Ana Elisa Lobo","LOBO, A. E.","7","NAO","9312511227696419",4
"Helder Pinho","PINHO, H.","8","NAO","",4
"Tiago Moronte","MORONTE, T.","9","NAO","8570648652517974",4
"Janaína Ruas","RUAS, J.","10","NAO","",4
"Patrick Henrique da Silva Brito","BRITO, P. H. S.","11","NAO","4155051332618408",4
"Camila Ribeiro Rocha","ROCHA, C. R.","12","NAO","",4
"Leonardo Pondian Tizzei","TIZZEI, L. P.","13","NAO","6628926147307456",4
"Cecília Mary Fischer Rubira","RUBIRA, C. M. F.;Rubira, Cecília M. F.;Rubira, Cecília Mary F.;RUBIRA, CECILIA M. F.;RUBIRA, CECILIA M.F.;RUBIRA, C.M.F.;Rubira, Cecília M. F;Rubira, Cecília M.F;RUBIRA, C.M.F;Cecília Mary Fischer Rubira;Cecilia Mary Fischer Rubira;C. Rubira;C.M.F. Rubira;C.M.F. RUBIRA;C RUBIRA;CMF RUBIRA;C. RUBIRA-CALSAVARA;CMF RUBIRA-CALSAVARA;Cecília M. F RUBIRA;Cecília M. F. RUBIRA;Cecília M. F. Rubira;Cecília M. F Rubira;RUBIRA, CEC''LIA M.F;RUBIRA, CECILIA MARY FISCHER;RUBIRA, CECÍLIA MF;RUBIRA, CECÍLIA;RUBIRA, CECILIA MARY FISHER;RUBIRA,CECÍLIA M.;RUBIRA, CECÍLIA M.","1","SIM","1396497553199632",5
"Eliane Martins","MARTINS, E.","2","NAO","7628786577802962",5
"Ana Cristina Vieira Melo","MELO, A. C. V.","3","NAO","",5
"Cecília Mary Fischer Rubira","RUBIRA, C. M. F.;Rubira, Cecília M. F.;Rubira, Cecília Mary F.;RUBIRA, CECILIA M. F.;RUBIRA, CECILIA M.F.;RUBIRA, C.M.F.;Rubira, Cecília M. F;Rubira, Cecília M.F;RUBIRA, C.M.F;Cecília Mary Fischer Rubira;Cecilia Mary Fischer Rubira;C. Rubira;C.M.F. Rubira;C.M.F. RUBIRA;C RUBIRA;CMF RUBIRA;C. RUBIRA-CALSAVARA;CMF RUBIRA-CALSAVARA;Cecília M. F RUBIRA;Cecília M. F. RUBIRA;Cecília M. F. Rubira;Cecília M. F Rubira;RUBIRA, CEC''LIA M.F;RUBIRA, CECILIA MARY FISCHER;RUBIRA, CECÍLIA MF;RUBIRA, CECÍLIA;RUBIRA, CECILIA MARY FISHER;RUBIRA,CECÍLIA M.;RUBIRA, CECÍLIA M.","1","NAO","1396497553199632",6
"Eliane Martins","MARTINS, E.","2","SIM","7628786577802962",6
"Taisy Weber","WEBER, T.","3","NAO","8602960801642916",6
"Henrique Madeira","MADEIRA, H.","4","NAO","",6
