NOME-DO-CANDIDATO,CODIGO-INSTITUICAO,NOME-INSTITUICAO,CODIGO-ORGAO,NOME-ORGAO,CODIGO-CURSO,NOME-CURSO,NOME-CURSO-INGLES,PARTICIPACAO-EM-BANCA-DE-DOUTORADO_Id
"Rosana Teresinha Vaccare Braga","006700000002","Universidade de São Paulo","","","","","",0
"Renato Cerqueira","000100000991","Pontífice Universidade Católica do Rio de Janeiro","","","90000003","Ciência da Computação","",1
"Christina von Flach Garcia Chavez","000100000991","Pontífice Universidade Católica do Rio de Janeiro","","","90000003","Ciência da Computação","",2
"André Santanchè","007900000004","Universidade Estadual de Campinas","","","33070059","Ciência da Computação","Computer Science",3
"Regina Lúcia de Oliveira Moraes","007900000004","Universidade Estadual de Campinas","","","33070059","Ciência da Computação","Computer Science",4
"Fernando José Castor de Lima Filho","007900000004","Universidade Estadual de Campinas","","","33070059","Ciência da Computação","Computer Science",5
"Aline Pires Vieira de Vasconcelos","020200000009","Universidade Federal do Rio de Janeiro","","","31000045","Engenharia de Sistemas e Computação","Computer Science",6
"Patrick Henrique da Silva Brito","007900000004","Universidade Estadual de Campinas","","","33070059","Ciência da Computação","Computer Science",7
"Amanda Sávio Nascimento e Silva","007900000004","Universidade Estadual de Campinas","","","33070059","Ciência da Computação","Computer Science",8
"Leonardo Pondian Tizzei","007900000004","Universidade Estadual de Campinas","","","33070059","Ciência da Computação","Computer Science",9
"Edson Alves de Oliveira Junior","006700000002","Universidade de São Paulo","","","33021759","Ciencia da Computacao","Computer Science",10
"Marco Eugenio Madeira Di Beneditto","020200000009","Universidade Federal do Rio de Janeiro","","","60044730","Programa de Engenharia da COPPE - UFRJ","Engineering",11
