TIPO,TITULO,ANO,PAIS,IDIOMA,NOME_DO_ORIENTADO
Dissertação de mestrado,Um Modelo Para Planejamento da Operacao de Curto Prazo de Sistemas Hidrotermicos Via Metodo da Continuacao,1994,Brasil,Português,AGRIPINO ALVES DO CARMO JR
Dissertação de mestrado,Um Modelo Para Planejamento da Operacao de Curto Prazo Com Restricoes de Seguranca,1994,Brasil,Português,Alcides Vitor Fracaro
Dissertação de mestrado,Especificacao e Implementacao de Um Sistema de Apoio A Decisao Para Planejamento da Operacao de Curto Prazo de Sistemas Hidrotermicos,1993,Brasil,Português,ANA CLAUDIA VASCONCELOS SOARES BULCAO
Dissertação de mestrado,Aplicação de Redes Neurais Articificiais Para Previsão de Carga No Período de Demanda de Ponta,1996,Brasil,Português,Wagner da Silva Lima
Dissertação de mestrado,Um modelo de otimização do despacho de máquinas em usinas hidrelétricas,1996,Brasil,Português,Anastacio Sebastian Arce Encina
Dissertação de mestrado,Modelos de Pré-Despacho Para Sistemas de Energia Elétrica Desregulamentados,1998,Brasil,Português,Alvaro Adelino de Oliveira
Dissertação de mestrado,Um modelo de pré-despacho com margem de estabilidade de tensão,2001,Brasil,Português,Frederico Moreira
Dissertação de mestrado,Otimização do transporte em oleodutos utilizando algoritomos genéticos e programação lienear,1999,Brasil,Português,Adriano Cavalcanti
Dissertação de mestrado,Um Medolo de Pré-Despacho com Gerenciamento de Congestionamento,2001,Brasil,Português,José Oscullo Lala
Dissertação de mestrado,Uma Metodologia de Cálculo do Spot Price com Restrições de Segurança,2002,Brasil,Português,Sandra Kise Uehara
Dissertação de mestrado,Despacho Econômico em Usinas Hidrelétricas,2003,Brasil,Português,Felipe Provençano
Dissertação de mestrado,Um Modelo de Previsão de Carga por Barramento,2004,Brasil,Português,Ricardo Menezes Salgado
Dissertação de mestrado,UM MODELO DE FLUXO DE POTÊNCIA ÓTIMO LINEAR COM REPROGRAMAÇÃO CORRETIVA VIA MÉTODO DE PONTOS INTERIORES,2004,Brasil,Português,Mariella Renata C. Aurich
Dissertação de mestrado,Um Modelo de Pré-despacho de Usinas Hidrelétricas usando Algoritmos Genéticos,2001,Brasil,Português,Erinaldo Farias dos Santos
Dissertação de mestrado,Previsão de Carga de Curto Prazo Usando Ensembles de Previsores Selecionados e Evoluídos por Algoritmos Genéticos,2006,Brasil,Português,Marcos de Almeida Leone Filho
Dissertação de mestrado,Despacho Integrado da Geração Termelétrica e da Produção e Transporte de Gás Natural com Método de Newton,2009,Brasil,Português,Elma Pereira dos Santos
Dissertação de mestrado,Uma Ferramenta de Programação Visual para Previsão e Reconhecimento de Padrões,2007,Brasil,Português,Joaquim José Fantin Pereira
Dissertação de mestrado,Detecção e Otimização da Produção Bruta de Óleo em Poços com Elevação Artificial GLI,2012,Brasil,Português,Valter Souza Blande
Dissertação de mestrado,Um modelo de simulação da dinâmica de dispersão do Huanglongbing (HLB) em um pomar de citros,2012,Brasil,Português,Ana Paula Diniz Marques
Dissertação de mestrado,Um modelo para previsão de carga crítica,2012,Brasil,Português,Mateus Neves barreto
Dissertação de mestrado,Um Estudo de Caso para a Previsão de Carga de Médio e Longo Prazo Brasileira,2015,Brasil,Português,Max Olinto Moreira
Dissertação de mestrado,Um Modelo de Despacho Econômico de Reserva Operativa,2004,Brasil,Português,Gerardo Miguel Arguto Lescano
