TIPO,TITULO,ANO,PAIS,IDIOMA,NOME_DO_ORIENTADO
Dissertação de mestrado,Otimização de Redes Neurais Autocodificadoras guiada por Análise Visual de Dados,2017,Brasil,Português,Bárbara Caroline Benato
Dissertação de mestrado,Segmentação de Imagem usando Superpixels e Aprendizado Ativo,2017,Brasil,Português,Felipe Lemes Galvão
Dissertação de mestrado,Aprendizado Ativo com Análise Visual de Dados e sua aplicação ao Diagnóstico de Enteroparasitos,2016,Brasil,Português,Deangeli Gomes Neves
Dissertação de mestrado,Detecção de Placas Pulmonares por Redes Neurais de Múltiplas Camadas,2017,Brasil,Português,Jorge Damião Barbosa das Chagas
Dissertação de mestrado,Divide-and-Conquer Clustering Approaches based on Optimum-Path Forest,2015,Brasil,Inglês,Adán Echemendía Montero
Dissertação de mestrado,Segmentação de Placas Pleurais em Imagens de Tomografia de Raios-X do Tórax,2015,Brasil,Português,Azael de Melo e Sousa
