TIPO,TITULO,ANO,PAIS,IDIOMA,NOME_DO_ORIENTADO
Supervisão de pós-doutorado,NULL,2015,Brasil,Inglês,Jordi Creus Tomas
Supervisão de pós-doutorado,NULL,2004,Brasil,Português,José de Jesús Pérez Alcázar
