TIPO,TITULO,ANO,PAIS,IDIOMA,NOME_DO_ORIENTADO
Tese de doutorado,Um Ambiente Computacional Para Modelagem de Aplicações Ambientais,1997,Brasil,Português,Fatima Pires
Tese de doutorado,A Abordagem POESIA para a Integração de Dados e Serviços na Web Semântica,2003,Brasil,Português,Renato Fileto
Tese de doutorado,"Ambiente de Gerenciamento de Imagens e Dados Espaciais para Desenvolvimento de Aplicacões de Biodiversidade
Espaciais",2004,Brasil,Inglês,Ricardo da Silva Torres
Tese de doutorado,Negociação automática de contratos multi-laterais em cadeias produtivas agricolas (co-orientadora),2009,Brasil,Inglês,Evandro Baccarin
Tese de doutorado,Fluid Web e Componentes de Conteúdo Digital: da visão centrada em documentos para a visão centrada em conteúdo,2006,Brasil,Português,André Santanchè
Tese de doutorado,Um Framework para a Avaliação de Interfaces de Aplicações SIG Web (co-orientacao),2006,Brasil,Português,Juliano Schimiguel
Tese de doutorado,Uso de evidências Geograficas textuais para recuperacao de informacao na Web (co-oirientacao),2006,Brasil,Português,Karla Albuquerque de Vasconcelos Borges
Tese de doutorado,Anotação semântica de dados geoespaciais,2009,Brasil,Inglês,Carla Geovana do Nascimento Macário
Tese de doutorado,Gerenciamento de Workflows Cientificos em Bioinformatica,2007,Brasil,Português,Luciano Antonio Digiampietri
Tese de doutorado,Estimating the quality of data in eScience: a provenance-based approach,2013,Brasil,Inglês,Joana Esther Gonzales Malaverri
Tese de doutorado,Múltiplas Representações em Sistemas de Informação Geográfica,2000,Brasil,Português,Clodoveu Augusto Davis Junior
Tese de doutorado,Gerenciamento do ciclo de vida de dados de sensores: da produção ao consumo,2008,Brasil,Inglês,Gilberto Zonta Pastorello Junior
Tese de doutorado,Context-driven Workflow Adaptation applied to Healthcare Planning,2014,Brasil,Inglês,Bruno Siqueira Campos Mendonça Vilar
Tese de doutorado,Supporting the Collection and Curation of Biological Observation Metadata,2014,Brasil,Inglês,Daniel Cintra Cugler
Tese de doutorado,An event based approach to process environmental data,2013,Brasil,Inglês,Ivo Kenji Koga
Tese de doutorado,Organization is Sharing: From eScience to Personal Information Management,2012,Brasil,Inglês,Rodrigo Dias Arruda Senra
Tese de doutorado,Views over Graph Databases: A Multifocus Approach for Heterogeneous Data,2017,Brasil,Inglês,Jaudete Daltio
Tese de doutorado,Projeto e Implementação de Interfaces Para Sistemas de Aplicações Geográficas,1997,Brasil,Português,Juliano Lopes de Oliveira
