TIPO,TITULO,ANO,PAIS,IDIOMA,NOME_DO_ORIENTADO
Dissertação de mestrado,Implementação de Sistemas Tolerantes a Falhas usando Programação Orientada a Objetos,1997,Brasil,Português,D.P. PRADO
Dissertação de mestrado,Implementação de Sistemas Tolerantes a Falhas usando Programação Reflexiva Orientada a Objetos,1997,Brasil,Português,SAND LUZ CÔRREA
Dissertação de mestrado,Uma abordagem Orientada a Objetos para Programação Distribuída Confiável,1997,Brasil,Português,Elbson Moreira Quadros
Dissertação de mestrado,Uma Abordagem Reflexiva para a Construção de Frameworks para Interfaces Homem-Computador,1998,Brasil,Português,M.G. COELHO
Dissertação de mestrado,Um Framework Orientado a Objetos para Controladores de Trens Tolerantes a Falhas,1999,Brasil,Inglês,Luciane Lamour Ferreira
Dissertação de mestrado,Um Framework para Aplicações Criptográficas,1999,Brasil,Inglês,Alexandre Braga
Dissertação de mestrado,Um Framework para Editores de Diagramas Cooperativos Baseados em Anotações,1999,Brasil,Português,CLEIDSON BOTELHO DE SOUZA
Dissertação de mestrado,Tratamento de Exceções em Sistemas Concorrentes Orientados a Objetos,2000,Brasil,Inglês,ALESSANDRO F. GARCIA
Dissertação de mestrado,Adaptação de componentes de software para o desenvolvimento de sistemas confiáveis,2001,Brasil,Português,Gerson Weiss
Dissertação de mestrado,Tratamento de Exceções no Desenvolvimento de Software Confiável Baseado em Componentes,2001,Brasil,Português,Gisele R M Ferreira
Dissertação de mestrado,Um Sistema de Padrões para Injeção de Falhas por Software,2001,Brasil,Português,Nelson G M Leme
Dissertação de mestrado,Uso de Componentes de Software no Desenvolvimento de Frameworks Orientados a Objetos,2002,Brasil,Português,Frederico de Miranda Coelho
Dissertação de mestrado,Técnicas de estruturação de software no desenvolvimento de sistemas-de-sistemas confiáveis,2003,Brasil,Português,Ricardo de Mendonça da Silva
Dissertação de mestrado,Evolução de Arquitetura de Classes em Sistemas Orientados a Objetos,2003,Brasil,Português,Moacir Caetano da Silva Júnior
Dissertação de mestrado,Um Método para Modelagem de Exceções em Desenvolvimento Baseado em Componentes,2005,Brasil,Português,Patrick Henrique da Silva Brito
Dissertação de mestrado,Um Processo de Desenvolvimento baseado em Componentes adaptado ao Model Driven Architecture (MDA),2004,Brasil,Português,Milton César Fraga de Sousa
Dissertação de mestrado,Uma Abordagem Arquitetural com Tratamento de Exceções para Sistemas de Software baseados em Componentes,2004,Brasil,Português,Vinicius Asta Pagano
Dissertação de mestrado,Um Repositório  com Suporte para Desenvolvimento  Baseado  em  Componentes,2006,Brasil,Português,Helder Pinho
Dissertação de mestrado,Uma Infra-estrutura de Software para Apoiar a Construção de Arquiteturas de Software Baseadas em Componentes,2007,Brasil,Português,Tiago César Moronte
Dissertação de mestrado,Uma Ferramenta de Apoio à Montagem de Configurações Arquiteturais baseada no Modelo COSMOS*,2010,Brasil,Português,Leonel Aguilar Gayard
Dissertação de mestrado,Uma infra-estrutura de suporte à evolução para repositórios de componentes,2007,Brasil,Português,Leonardo Pondian Tizzei
Dissertação de mestrado,Modularização de Tratamento de Exceções usando Programação Orientada a Aspectos,2006,Brasil,Português,Raquel de Albuquerque Maranhão Ferreira
Dissertação de mestrado,Uma Infra-Estrutura Confiável para Arquiteturas Baseadas em Serviços Web Aplicada à Pesquisa de Biodiversidade,2009,Brasil,Português,Eduardo Machado Gonçalves
Dissertação de mestrado,Ações Atômicas Coordenadas na Paltaforma JavaEE,2010,Brasil,Português,Peterson Peixoto dos Santos
Dissertação de mestrado,Evolução de Componentes Compartilhados por Múltiplas Linhas de Produto de Software,2009,Brasil,Português,Wendel Malta de Assis
Dissertação de mestrado,Projeto  e Implementação de Varibilidades em Arquiteturas Baseadas no Modelo de Componentes COSMOS*,2010,Brasil,Português,Marcelo de Oliveira Dias
Dissertação de mestrado,Projeto e Implementação de Tratamento de Exceções em Arquitetura de Componente de Serviço,2010,Brasil,Português,Douglas Siqueira Leite
Dissertação de mestrado,Método Ágil aplicado ao Desenvolvimento de Software Confiável baseado em Componentes,2013,Brasil,Português,Alan Braz
Dissertação de mestrado,Variabilidade de Tratamento de Exceções em Linhas de Produtos de Software,2012,Brasil,Português,Bruno de Abreu Iizuka
Dissertação de mestrado,Evolução e Recuperação de Arquiteturas de Software Baseadas em Componentes,2013,Brasil,Português,Andre Petris Esteve
Dissertação de mestrado,Uma abordagem de Linhas de Produtos para Apoiar de e-Science,2012,Brasil,Português,Fernanda Yara dos Santos Foschiani
Dissertação de mestrado,FlexMonitorWS: Uma Solução para Monitoração de Serviços Web com Foco em Atributos de QoS,2014,Brasil,Português,Rômulo José Franco
Dissertação de mestrado,A self-adaptive deployment solution for Android platforms,2016,Brasil,Português,Junior Cupe Casquina
Dissertação de mestrado,e-Phenology Collector: Uma Solução Robusta para Coleta de Dados em Campo usando Plataformas Móveis,2016,Brasil,Português,Edson Riberto Bollis
Dissertação de mestrado,Uma Solução de Linha de Produtos de Software Baseada em Componentes e Aspectos para o Domínio de e-Commerce,2015,Brasil,Português,Raphael Porreca Azzolini
Dissertação de mestrado,DW-SAAArch: A Reference Architecture for Dynamic Self-Adaptation in Workflows,2015,Brasil,Inglês,Sheila Katherine Venero Ferro
Dissertação de mestrado,Uma Abordagem Baseada em Linhas de Produtos com Componentes e Aspectos na Plataforma Android,2015,Brasil,Português,Gustavo Mitsuyuki Waku
Dissertação de mestrado,Mapeamento de Conflitos entre Atributos de QoS na Monitoração de Aplicações SOA,2016,Brasil,Português,Jael Louis Zela Ruiz
Dissertação de mestrado,Bellatrix: Um ambiente com Suporte Arquitetural para Desenvolvimento Baseado em Componentes,2006,Brasil,Português,Rodrigo Teruo Tomita
