TIPO,TITULO,ANO,PAIS,IDIOMA,NOME_DO_ORIENTADO
Tese de doutorado,Da indeterminação a invariância : considerações sobre morfologia musical a partir de peças de caráter aberto,2005,Brasil,Português,Valério Fiel da Costa
Tese de doutorado,VIOLÃO PERCUSSIVO ESTRUTURAL: UMA ABORDAGEM DE EDINO KRIEGER A ARTHUR KAMPELA.,2009,Brasil,Português,Mario da Silva Junior
Tese de doutorado,Design Sonoro aplicado a instalações multimídia,2011,Brasil,Português,Clayton Rosa Mamedes
Tese de doutorado,Três pontos de vista para o estudos da transcrição musical,2013,Brasil,Português,João Victor Bota
Tese de doutorado,"A Paisagem sonora, a criança e a cidade: exercícios de escuta e de composição para uma ampliação da idéia de música",2006,Brasil,Português,Fátima Carneiro dos Santos
