TIPO,TITULO,ANO,PAIS,IDIOMA,NOME_DO_ORIENTADO
Dissertação de mestrado,Desenvolvimento de Algoritmos de Sub Estruturacao Para Elementos Finitos,1997,Brasil,Português,Misael Luis Santana Mandujano
Dissertação de mestrado,Tecnica de Mult-Grid Aplicada Ao Metodo dos Elementos Finitos,1990,Brasil,Português,Arlenes Silvino da Silva
Dissertação de mestrado,Métodos implícitos aplicados a simulação de fluídos compressíveis tri-dimensionais,2004,Brasil,Português,Erick Slis Raggio Santos
Dissertação de mestrado,Implementação do método de elementos finitos dentro do software AutoCAD,2002,Brasil,Português,Fábio Henrique Campos Mauad
Dissertação de mestrado,Modelos numéricos para placas e cascas multicamadas,2001,Brasil,Português,Renato Frotta de Souza Junior
Dissertação de mestrado,Implementação paralela do método de resolução frontal de sistemas de equações,2001,Brasil,Português,Gustavo Camargo Longhin
Dissertação de mestrado,Adaptatividade aplicada a malhas de elementos finitos,2002,Brasil,Português,Edimar Cesar Rylo
Dissertação de mestrado,O Método de Galerkin Descontínuo Aplicado a Problemas de Convecção-Difusão,2005,Brasil,Português,Tiago Luís Duarte Forti
Dissertação de mestrado,Avaliação de Simuladores de Fraturamento Hidráulico,2006,Brasil,Português,Renato Gomes Damas
Dissertação de mestrado,Descrição matemática de geometrias curvas por interpolação transfinito,2007,Brasil,Português,Paulo Cesar de Alvarenga Lucci
Dissertação de mestrado,Técnicas de Pós-Processamento na Simulação de Fluxos Monofásicos em Meios Porosos,2008,Brasil,Português,Agnaldo Monteiro Farias
Dissertação de mestrado,Numerical Approximation of Reservoir Fault Stability with Linear Poroelasticity,2013,Brasil,Inglês,Omar Yesid Duran Triana
Dissertação de mestrado,Modelagem de Escoamento de Fluido no Meio Poroso utilizando o MEF (Método dos Elementos Finitos): Avaliação de Testes de Pressão em Poços.,2013,Brasil,Português,Tiago Almeida Costa
Dissertação de mestrado,Modelagem e simulação elastoplástica em elementos finitos.,2011,Brasil,Português,Diogo Lira Cecílio
Dissertação de mestrado,Redes neurais aplicados a computação cientifica,2012,Brasil,Português,Thiago Diaz dos Santos
Dissertação de mestrado,Hydraulic Fracturing Approximation using Finite Elements and Elasto Plasticity,2015,Brasil,Português,Nathan Shauer
Dissertação de mestrado,Modelagem em elementos finitos de escoamento axi-simétrico multifásico compressível,2016,Brasil,Português,José Villegas
Dissertação de mestrado,Simulação das Equações de Stokes Utilizando Espaços Hdiv.,2017,Brasil,Português,Pablo G. da Silva Carvalho
Dissertação de mestrado,Modelagem Linear Elástica para Simulação do Estado de Tensão em Poços Inclinados&#8232;,2017,Brasil,Português,Nathalia Agostinho Batalha
Dissertação de mestrado,Paralelizacao de Calculos de Elementos Finitos Utilizando Oop,1997,Brasil,Português,Erico Correio da Silva
