TIPO,TITULO,ANO,PAIS,IDIOMA,NOME_DO_CANDIDATO
Mestrado,Representações Intermediárias e Geração de Códigos no Compilador Redirecionável Xingo,2005,Brasil,Português,Cristiano Lino Felício
Mestrado,Otimização em Loops no Projeto Xingó,2005,Brasil,Português,Francisco Blasi Junior
Mestrado,Ambiente de Suporte ao Projeto de Sistemas Embarcado,2006,Brasil,Português,Andréia Aparecida Barbiero
Mestrado,Modelagem e Simulação de Barramentos com SystemC,2006,Brasil,Português,Sandro Cesca Dangui
Mestrado,Uma metodologia analítico-determinística para a avaliação de desempenho no tempo de processadores de rede implementados como sistemas-sobre-silício,2007,Brasil,Português,Frederico de Faria
Mestrado,ISAMAP: Tradução Binária Dinâmica Orientada a Mapeamento de Instruções,2008,Brasil,Português,Maxwell Monteiro Andrade de Souza
Mestrado,Investigação de Técnicas de Cache de Dados para Sistemas Embarcados,2008,Brasil,Português,Giancarlo Covolo Heck
Mestrado,Verificação Funcional Pós-Particionamento em Sistemas Integrados de Hardware e Software,2008,Brasil,Português,Gabriel Macion Marcílio
Mestrado,Um Analisador de Restrições de Tempo Real para Compiladores Redirecionáveis Automaticamente,2008,Brasil,Português,Emílio Wuerges
Mestrado,Um Modelo de Execução Java no Processador CELL BE,2009,Brasil,Português,Francisco Rafael Lorenzo Hoyos
Mestrado,Aceleradores e Multiprocessadores em Chip: O impacto da execução fora de ordem na verificação de funcionalidade e consistência,2012,Brasil,Português,Leandro da Silva Freitas
Mestrado,Avaliação Sistemática de Redes Intrachip,2014,Brasil,Português,William Schneider
Mestrado,Implementação de Cache no Projeto ArchC,2012,Brasil,Português,Henrique Dante de Almeida
