TIPO,TITULO,ANO,PAIS,IDIOMA,NOME_DO_ORIENTADO
Tese de doutorado,Metodologias para Simulações Arquiteturais Rápidas Utilizando a ADL ArchC,2012,Brasil,Português,Maxiwell Salvador Garcia
Tese de doutorado,Metodologias de Introspecção em Projeto em Nível de Sistema,2010,Brasil,Português,Andre Chastel de Lima
Tese de doutorado,Otimizações para Extração Automática de Paralelismo Baseadas na Técnica Decoupled Software Pipeline,2010,Brasil,Português,Cristianno Martins Vieira
Tese de doutorado,Análises de Segurança para Execução de Código em Máquinas Virtuais,2010,Brasil,Português,João Batista Corrêa Gomes Moreira
