NOME-COMPLETO,NOME-PARA-CITACAO,ORDEM-DE-INTEGRACAO,FLAG-RESPONSAVEL,NRO-ID-CNPQ,EQUIPE-DO-PROJETO_Id
"Zanoni Dias","DIAS, Z.;Dias, Z.;Dias, Zanoni","1","SIM","1789677069372972",0
"José A. A. Quitzau","QUITZAU, J. A. A.","2","NAO","",0
"João Meidanis","MEIDANIS, J.","3","NAO","1313385414995585",0
"Miguel Galves","GALVES, M.","4","NAO","3614514304945823",0
"Christian Baudet","BAUDET, C.","5","NAO","2331553018873575",0
"André Atanasio Maranhão Almeida","ALMEIDA, A. A. M.","6","NAO","0292740764507528",0
"Zanoni Dias","DIAS, Z.;Dias, Z.;Dias, Zanoni","1","NAO","1789677069372972",1
"Guilherme P. Telles","TELLES, G. P.","2","NAO","9783560852644016",1
"João Meidanis","MEIDANIS, J.","3","NAO","1313385414995585",1
"Cecília Mary Fischer Rubira","RUBIRA, C. M. F.","4","SIM","",1
"Paulo Asterio de Castro Guerra","GUERRA, P. A. C.","5","NAO","",1
"Zanoni Dias","DIAS, Z.;Dias, Z.;Dias, Zanoni","1","SIM","1789677069372972",2
"Zanoni Dias","DIAS, Z.;Dias, Z.;Dias, Zanoni","1","NAO","1789677069372972",3
"Felipe R. da Silva","SILVA, F. R.","2","SIM","5098407619682182",3
"Zanoni Dias","DIAS, Z.;Dias, Z.;Dias, Zanoni","1","NAO","1789677069372972",4
"Orlando Lee","LEE, O.","2","SIM","",4
"Zanoni Dias","DIAS, Z.;Dias, Z.;Dias, Zanoni","1","NAO","1789677069372972",5
"Cid Carvalho de Souza","SOUZA, C. C.","2","SIM","",5
"Orlando Lee","LEE, O.","3","NAO","",5
"Arnaldo Vieira Moura","MOURA, A. V.","4","NAO","",5
"Celia Picinin de Mello","MELLO, C. P.","5","NAO","",5
"Flávio Keidi Miyazawa","MIYAZAWA, F. K.","6","NAO","",5
"Pedro Jussieu de Rezende","REZENDE, P. J.","7","NAO","",5
"Zanoni Dias","DIAS, Z.;Dias, Z.;Dias, Zanoni","1","NAO","1789677069372972",6
