NOME-COMPLETO,NOME-PARA-CITACAO,ORDEM-DE-INTEGRACAO,FLAG-RESPONSAVEL,NRO-ID-CNPQ,EQUIPE-DO-PROJETO_Id
"Simone Silva de Deos","DEOS, Simone","1","NAO","2014231776693159",0
"Marines Grando","GRANDO, Marines","2","SIM","",0
"José Vicente Tavares","TAVARES, José Vicente","3","NAO","",0
"Simone Silva de Deos","DEOS, Simone","1","NAO","2014231776693159",1
"Maria de Fátima Araújo","ARAÚJO, Maria de Fátima","2","SIM","",1
"Maria Regina Marinho","MARINHO, Maria Regina","3","NAO","",1
"Simone Silva de Deos","DEOS, Simone","1","NAO","2014231776693159",2
"Marcos Antonio Macedo Cintra","CINTRA, Marcos Antonio Macedo","2","NAO","",2
"Ana Rosa R Mendonça Sarti","SARTI, Ana Rosa R Mendonça","3","NAO","2245694745135834",2
"Marcio Percival Alves Pinto","PINTO, Marcio Percival Alves","4","NAO","",2
"Paulo Eduardo de Andrade Baltar","BALTAR, Paulo Eduardo de Andrade","5","NAO","",2
"Carlos Alonso Barbosa de Oliveira","OLIVEIRA, Carlos Alonso Barbosa de","6","SIM","",2
"Lígia Dionizio Martins","MARTINS, Ligia Dionizio","7","NAO","",2
"Rafael Cagnin","CAGNIN, Rafael","8","NAO","",2
"Camila de Matos Freitas Ribeiro","RIBEIRO, Camila de Matos Freitas","9","NAO","",2
"Paulo Renato Piccina Amora","AMORA, Paulo Renato Piccina","10","NAO","",2
"Simone Silva de Deos","DEOS, Simone","1","NAO","2014231776693159",3
"José Carlos de Souza Braga","BRAGA, José Carlos de Souza","2","NAO","2245694745135834",3
"Silvina Vatnick","VATNICK, Silvina","3","SIM","",3
"Dante Chianamea","CHIANAMEA, Dante","4","NAO","",3
"Ana Rosa Ribeiro Mendonça","MENDONÇA, Ana Rosa Ribeiro","5","NAO","2245694745135834",3
"Simone Silva de Deos","DEOS, Simone","1","SIM","2014231776693159",4
"Andrés López","LOPEZ, Andrés","2","NAO","",4
"Caio Pinheiro Causo","CAUSO, Caio Pinheiro","3","NAO","",4
"Davi Encarnação","ENCARNAÇÃO, Davi","4","NAO","",4
"Rubia Wegner","WEGNER, Rubia","5","NAO","2245694745135834",4
"Ana Rosa Ribeiro Mendonça","MENDONÇA, Ana Rosa Ribeiro","6","NAO","2245694745135834",4
"Simone Silva de Deos","DEOS, Simone","1","NAO","2014231776693159",5
"Marcos Antonio Macedo Cintra","CINTRA, Marcos Antonio Macedo","2","NAO","",5
"Daniela Magalhães Prates","PRATES, Daniela Magalhães","3","NAO","",5
"Adriana Moreira Amado","AMADO, Adriana Moreira","4","NAO","",5
"Ana Rosa Ribeiro Mendonça","MENDONÇA, Ana Rosa Ribeiro","5","NAO","2245694745135834",5
"Carlos Eduardo Carvalho","CARVALHO, Carlos Eduardo","6","NAO","",5
"Maria Cristina Penido Freitas","FREITAS, Maria Cristina Penido","7","NAO","",5
"Marco Crocco","CROCCO, M.","8","NAO","",5
"Frederico G. Jayme jr.","JAYME JR., F. G.","9","SIM","",5
"JENNIFER HERMANN","HERMANN, J.","10","NAO","",5
"KURT EBERHART VON METTENHEIM","METTENHEIM, K. E. V.","11","NAO","",5
"Carlos Augusto Vidotto","VIDOTTO, C. A.","12","NAO","",5
"Maria Antonieta Del Tedesco Lins","LINS, Maria Antonieta Del Tedesco","13","NAO","",5
"Luis Fernando Rodrigues de Paula","PAULA, L. F. R","14","NAO","",5
"Simone Silva de Deos","DEOS, Simone","1","SIM","2014231776693159",6
"José Carlos de Souza Braga","BRAGA, José Carlos de Souza","2","NAO","2245694745135834",6
"Giuliano Contento de Oliveira","OLIVEIRA, G. C.","3","NAO","2245694745135834",6
"Roberto Alexandre Zanchetta Borghi","BORGHI, R. A. Z.","4","NAO","",6
"Silas Silva","SILVA, S.","5","NAO","",6
