NOME-DO-CANDIDATO,CODIGO-INSTITUICAO,NOME-INSTITUICAO,CODIGO-ORGAO,NOME-ORGAO,CODIGO-CURSO,NOME-CURSO,NOME-CURSO-INGLES,PARTICIPACAO-EM-BANCA-DE-MESTRADO_Id
"Gerson Luis Romantini","007900000004","Universidade Estadual de Campinas","","","33070202","Ciência Econômica","Economy",0
"Leonardo Loureiro Nunes","007900000004","Universidade Estadual de Campinas","","","90000016","Economia","",1
"Manuel Ramon Souza Luz","007900000004","Universidade Estadual de Campinas","","","90000016","Economia","",2
"Zoraide Bezerra Gomes","033700000000","Universidade Federal do Rio Grande do Norte","","","90000022","Programa de Pós-graduação em Economia","",3
"Marcelo Augusto Pontes de Araújo","033700000000","Universidade Federal do Rio Grande do Norte","","","60025000","Economia","Economy",4
"Vitor Kamada","007900000004","Universidade Estadual de Campinas","","","33070202","Ciência Econômica","Economy",5
"Lucas Azeredo da SilvaTeixeira","007900000004","Universidade Estadual de Campinas","","","90000016","Economia","",6
"Diego Nyko","007900000004","Universidade Estadual de Campinas","","","90000016","Economia","",7
"Rafael da Silva Barbosa","007900000004","Universidade Estadual de Campinas","","","60008342","Desenvolvimento Econômico","Economy",8
"Elia Elisa Mancini Cia","007900000004","Universidade Estadual de Campinas","","","33070202","Ciência Econômica","Economy",9
"Everton Sotto Tibiriçá Rosa","007900000004","Universidade Estadual de Campinas","","","33070202","Ciência Econômica","Economy",10
"Alexandre Fávaro Lucchesi","007100000000","Pontifícia Universidade Católica de São Paulo","","","33090114","Economia","Economy",11
"Luiza Peruffo","019200000005","Universidade Federal do Rio Grande do Sul","","","42000130","Economia","Economy",12
"Letícia Cristina Cotrin Loro","033000000007","Universidade Estadual Paulista Júlio de Mesquita Filho","","","60010793","Economia","Economy",13
"Ana Luiza Matos de Oliveira","007900000004","Universidade Estadual de Campinas","","","60008342","Desenvolvimento Econômico","Economy",14
"ANDREAS RICHARD EBISCH","007900000004","Universidade Estadual de Campinas","","","90000029","Desenvolvimento Econômico (Global Labour Universit","",15
"Lídia Brochier","007900000004","Universidade Estadual de Campinas","","","33070202","Ciência Econômica","Economy",16
"Luma Souza Ramos","007900000004","Universidade Estadual de Campinas","","","33070202","Ciência Econômica","Economy",17
"Boakai Murphy Dorley","007900000004","Universidade Estadual de Campinas","","","90000030","Desenvolvimento Econômico (Global Labour Universit","",18
"Assílio Luiz Zanella de Araujo","019200000005","Universidade Federal do Rio Grande do Sul","","","42000130","Economia","Economy",19
"Bruno Henrique Sibin","007900000004","Universidade Estadual de Campinas","","","60008342","Desenvolvimento Econômico","Economy",20
"Weber Luiz Torniziello Filho","001500000008","Universidade Federal de Uberlândia","","","32050097","Economia","Economy",21
"Joseli Fernanda Nappi","007900000004","Universidade Estadual de Campinas","","","33070202","Ciência Econômica","Economy",22
"Leonardo Flauzino de Souza","007900000004","Universidade Estadual de Campinas","","","90000016","Economia","",23
