NOME-COMPLETO,NOME-PARA-CITACAO,ORDEM-DE-INTEGRACAO,FLAG-RESPONSAVEL,NRO-ID-CNPQ,EQUIPE-DO-PROJETO_Id
"Leticia Rittner","RITTNER, Leticia;Rittner, Leticia;RITTNER, LETÍCIA;RITTNER, L.;RITTNER, L","1","NAO","6540619386101635",0
"Roberto de Alencar Lotufo","LOTUFO, R.","2","SIM","9224426261471914",0
"Franklin César flores","FLORES, F. C.","3","NAO","0795967777970879",0
"Rubens Campos Machado","MACHADO, R C","4","NAO","3022427606876489",0
"Leticia Rittner","RITTNER, Leticia;Rittner, Leticia;RITTNER, LETÍCIA;RITTNER, L.;RITTNER, L","1","NAO","6540619386101635",1
"Roberto de Alencar Lotufo","LOTUFO, R.","2","SIM","9224426261471914",1
"Rubens Campos Machado","MACHADO, R C","3","NAO","3022427606876489",1
"Leticia Rittner","RITTNER, Leticia;Rittner, Leticia;RITTNER, LETÍCIA;RITTNER, L.;RITTNER, L","1","NAO","6540619386101635",2
"Fernando Cendes","CENDES, F.","2","SIM","4754944655427183",2
"Roberto de Alencar Lotufo","LOTUFO, R. A.","3","NAO","9224426261471914",2
"Luiz E G G Betting","BETTING, L.E.G.G.","4","NAO","",2
"Clarissa Lin Yasuda","YASUDA, C.L.","5","NAO","",2
"Anelyssa Cysne Frota D'Abreu","D'ABREU, A.C.F.","6","NAO","",2
"Iscia Teresinha Lopes Cendes","CENDES, I.T.L.","7","NAO","",2
"Li Li Min","MIN, L.L.","8","NAO","",2
"Roberto Covolan Jr.","COVOLAN JR., R.","9","NAO","",2
"Eleri Cardozo","CARDOZO, E.","10","NAO","",2
"Ricardo Ribeiro Gudwin","GUDWIN, R.R.","11","NAO","",2
"Fernando José Von Zuben","VON ZUBEN, F.J.","12","NAO","",2
"Ricardo Suyama","SUYAMA, R.","13","NAO","",2
"Romis Ribeiro de Faissol Attux","ATTUX, R.R.F.","14","NAO","",2
"Leticia Rittner","RITTNER, Leticia;Rittner, Leticia;RITTNER, LETÍCIA;RITTNER, L.;RITTNER, L","1","NAO","6540619386101635",3
"Roberto de Alencar Lotufo","LOTUFO, R. A.","2","SIM","9224426261471914",3
"Leticia Rittner","RITTNER, Leticia;Rittner, Leticia;RITTNER, LETÍCIA;RITTNER, L.;RITTNER, L","1","NAO","6540619386101635",4
"Fernando Cendes","CENDES, F.","2","NAO","4754944655427183",4
"Lotufo, Roberto A.","Lotufo, Roberto A.","3","SIM","9224426261471914",4
"Richard Frayne","FRAYNE, R.","4","NAO","",4
"Leticia Rittner","RITTNER, Leticia;Rittner, Leticia;RITTNER, LETÍCIA;RITTNER, L.;RITTNER, L","1","SIM","6540619386101635",5
"Tiago Fernandes Tavares","TAVARES, T. F.","2","NAO","",5
"Paula Dornhofer Paro Costa","COSTA, P. D. P.","3","NAO","",5
"Leticia Rittner","RITTNER, Leticia;Rittner, Leticia;RITTNER, LETÍCIA;RITTNER, L.;RITTNER, L","1","NAO","6540619386101635",6
"Tiago Fernandes Tavares","TAVARES, T. F.","2","NAO","",6
"Paula Dornhofer Paro Costa","COSTA, P. D. P.","3","SIM","",6
"Leticia Rittner","RITTNER, Leticia;Rittner, Leticia;RITTNER, LETÍCIA;RITTNER, L.;RITTNER, L","1","NAO","6540619386101635",7
"Roberto de Alencar Lotufo","LOTUFO, R.","2","SIM","9224426261471914",7
"Alexandre Xavier Falcão","FALCÃO, A. X.","3","NAO","7533729699758819",7
"Fernando Cendes","CENDES, F.","4","NAO","4754944655427183",7
"Jane Maryam Rondina","RONDINA, J. M.","5","NAO","3342596244863098",7
"Leticia Rittner","RITTNER, Leticia;Rittner, Leticia;RITTNER, LETÍCIA;RITTNER, L.;RITTNER, L","1","NAO","6540619386101635",8
"Lotufo, Roberto","Lotufo, Roberto","2","SIM","9224426261471914",8
"Jayaram K. Udupa","UDUPA, J. K.","3","NAO","",8
