NOME-COMPLETO,NOME-PARA-CITACAO,ORDEM-DE-INTEGRACAO,FLAG-RESPONSAVEL,NRO-ID-CNPQ,EQUIPE-DO-PROJETO_Id
"Maria Cristina Dias Tavares","TAVARES, M. C.;Tavares, M.C.;Cristina Tavares, M.;Tavares, Maria C.;Tavares, Maria Cristina;Maria Cristina Tavares;Maria C. Tavares;C. Tavares, Maria;TAVARES, MARIA;M. C. Tavares","1","SIM","3674511692669753",0
"Maria Cristina Dias Tavares","TAVARES, M. C.;Tavares, M.C.;Cristina Tavares, M.;Tavares, Maria C.;Tavares, Maria Cristina;Maria Cristina Tavares;Maria C. Tavares;C. Tavares, Maria;TAVARES, MARIA;M. C. Tavares","1","SIM","3674511692669753",1
"José Pissolato Filho","PISSOLATO FILHO, José","2","NAO","7870647855005820",1
"Afonso José do Prado","PRADO, Afonso José Do","3","NAO","7870647855005820",1
"Sergio Kurokawa","KUROKAWA, Sergio","4","NAO","4830845230549223",1
"Michel Gonçalves Pinheiro","PINHEIRO, Michel Gonçalves","5","NAO","",1
"Carlos Medeiros Portela","PORTELA, Carlos Medeiros","6","NAO","3563809681641435",1
"Paulo Araujo Prado","PRADO, P. A.","7","NAO","",1
"Clayton Rodrigues Cintra","CINTRA, Clayton Rodrigues","8","NAO","",1
"João Bosco Gertrudes","GERTRUDES, João Bosco","9","NAO","2755740550497444",1
"Leandro Lima","LIMA, Leandro","10","NAO","",1
"Maria Cristina Dias Tavares","TAVARES, M. C.;Tavares, M.C.;Cristina Tavares, M.;Tavares, Maria C.;Tavares, Maria Cristina;Maria Cristina Tavares;Maria C. Tavares;C. Tavares, Maria;TAVARES, MARIA;M. C. Tavares","1","SIM","3674511692669753",2
"José Pissolato Filho","PISSOLATO FILHO, José","2","NAO","7870647855005820",2
"Afonso José do Prado","PRADO, Afonso José Do","3","NAO","7870647855005820",2
"Sergio Kurokawa","KUROKAWA, Sergio","4","NAO","4830845230549223",2
"Michel Gonçalves Pinheiro","PINHEIRO, Michel Gonçalves","5","NAO","",2
"Carlos Medeiros Portela","PORTELA, Carlos Medeiros","6","NAO","3563809681641435",2
"Marcos de Araujo Paz","PAZ, Marcos de Araujo","7","NAO","3537147442008055",2
"Paulo Araujo Prado","PRADO, P. A.","8","NAO","",2
"Clayton Rodrigues Cintra","CINTRA, Clayton Rodrigues","9","NAO","",2
"João Bosco Gertrudes","GERTRUDES, João Bosco","10","NAO","2755740550497444",2
