SEQUENCIA-FUNCAO-ATIVIDADE,FLAG-PERIODO,MES-INICIO,ANO-INICIO,MES-FIM,ANO-FIM,CODIGO-ORGAO,NOME-ORGAO,CODIGO-UNIDADE,NOME-UNIDADE,ESTAGIO-REALIZADO,ATIVIDADES-DE-ESTAGIO_Id
"1","ANTERIOR","3","1982","1","1985","012601000998","Engenharia Elétrica","012601001994","Ilha do Fundão","simulador de transitórios",0
"38","ANTERIOR","01","2007","03","2007","007940000005","Faculdade de Engenharia Elétrica e de Computação da UNICAMP","007940009002","Departamento de Sistemas de Energia Elétrica","Universidade de Manitoba - Canadá",1
